code,council,region,annual_P_mm,annual_PET_mm,aridity_index
C001,Kondoa District,Dodoma,781.4,963.3,0.8112
C002,Kondoa Town,Dodoma,742.8,974.9,0.7619
C003,Mpwapwa District,Dodoma,748.0,1020.1,0.7333
C004,Kongwa District,Dodoma,688.8,1022.7,0.6735
C005,Chamwino District,Dodoma,673.1,1146.7,0.587
C006,Dodoma City,Dodoma,706.9,1106.0,0.6391
C007,Bahi District,Dodoma,669.9,1262.9,0.5304
C008,Chemba District,Dodoma,687.2,1054.5,0.6516
C009,Monduli District,Arusha,680.0,1023.2,0.6645
C010,Meru District,Arusha,971.4,808.8,1.2011
C011,Arusha District,Arusha,907.9,818.4,1.1095
C012,Longido District,Arusha,656.9,983.1,0.6682
C013,Karatu District,Arusha,691.5,1005.9,0.6875
C014,Ngorongoro District,Arusha,784.7,898.2,0.8736
C015,Arusha City,Arusha,814.8,979.5,0.8318
C016,Rombo District,Kilimanjaro,1777.7,730.9,2.4323
C017,Mwanga District,Kilimanjaro,847.9,1146.8,0.7394
C018,Same District,Kilimanjaro,850.2,1033.0,0.823
C019,Moshi Municipal,Kilimanjaro,1007.8,780.0,1.2922
C020,Moshi District,Kilimanjaro,1154.3,1246.7,0.9259
C021,Hai District,Kilimanjaro,1252.3,780.0,1.6055
C022,Siha District,Kilimanjaro,1197.7,850.0,1.4089
C023,Lushoto District,Tanga,983.6,1147.7,0.857
C024,Bumbuli District,Tanga,1345.2,1025.1,1.3123
C025,Korogwe District,Tanga,1011.5,1093.8,0.9247
C026,Korogwe Town,Tanga,1376.5,1221.2,1.1272
C027,Muheza District,Tanga,1489.6,1371.4,1.0862
C028,Tanga City,Tanga,1431.7,1527.0,0.9376
C029,Pangani District,Tanga,1191.6,1472.8,0.8091
C030,Handeni District,Tanga,1101.6,1171.9,0.94
C031,Handeni Town,Tanga,841.2,1066.7,0.7886
C032,Kilindi District,Tanga,920.0,933.2,0.9858
C033,Mkinga District,Tanga,1260.7,1499.7,0.8406
C034,Kilosa District,Morogoro,1131.0,1211.0,0.9339
C035,Morogoro District,Morogoro,1296.2,1113.2,1.1644
C036,Morogoro Municipal,Morogoro,1124.3,1224.1,0.9185
C037,Mlimba District,Morogoro,1671.3,1502.3,1.1125
C038,Ifakara Town,Morogoro,1486.3,1495.3,0.994
C039,Ulanga District,Morogoro,1415.3,1349.4,1.0489
C040,Malinyi District,Morogoro,1651.5,1130.1,1.4614
C041,Mvomero District,Morogoro,1090.0,1332.7,0.8179
C042,Gairo District,Morogoro,956.6,894.4,1.0695
C043,Bagamoyo District,Pwani,1086.5,1529.6,0.7103
C044,Chalinze District,Pwani,1069.3,1284.1,0.8327
C045,Kibaha District,Pwani,1184.3,1518.3,0.78
C046,Kibaha Town,Pwani,1158.9,1503.9,0.7706
C047,Kisarawe District,Pwani,1225.8,1403.6,0.8733
C048,Mkuranga District,Pwani,1285.7,1565.8,0.8211
C049,Rufiji District,Pwani,1068.7,1667.3,0.641
C050,Mafia District,Pwani,2440.3,1579.3,1.5451
C051,Kibiti District,Pwani,1277.4,1502.9,0.85
C052,Kinondoni Municipal,Dar es Salaam,985.0,1526.2,0.6454
C053,Dar Es Salaam City,Dar es Salaam,1228.0,1552.6,0.7909
C054,Temeke Municipal,Dar es Salaam,1213.4,1552.6,0.7815
C055,Kigamboni Municipal,Dar es Salaam,1240.7,1597.9,0.7764
C056,Ubungo Municipal,Dar es Salaam,1047.5,1503.8,0.6965
C057,Kilwa District,Lindi,1254.2,1443.4,0.8689
C058,Mtama District,Lindi,1184.3,1337.9,0.8851
C059,Lindi Municipal,Lindi,1153.2,1381.6,0.8347
C060,Nachingwea District,Lindi,1032.3,1385.1,0.7453
C061,Liwale District,Lindi,1174.7,1309.1,0.8974
C062,Ruangwa District,Lindi,1155.6,1237.4,0.9339
C063,Mtwara District,Mtwara,1159.1,1371.7,0.845
C064,Nanyamba Town,Mtwara,1156.1,1376.3,0.84
C065,Mtwara Mikindani Municipal,Mtwara,1167.9,1507.0,0.775
C066,Newala District,Mtwara,1268.1,1202.8,1.0542
C067,Newala Town,Mtwara,1300.0,1373.5,0.9465
C068,Masasi District,Mtwara,1057.6,1316.0,0.8036
C069,Masasi Town,Mtwara,987.7,1434.2,0.6887
C070,Tandahimba District,Mtwara,1257.5,1208.3,1.0407
C071,Nanyumbu District,Mtwara,939.2,1505.0,0.624
C072,Tunduru District,Ruvuma,1110.6,1177.1,0.9435
C073,Songea District,Ruvuma,1433.2,997.8,1.4363
C074,Songea Municipal,Ruvuma,1286.6,959.0,1.3415
C075,Madaba District,Ruvuma,1607.0,1015.6,1.5824
C076,Mbinga District,Ruvuma,1302.6,941.0,1.3843
C077,Mbinga Town,Ruvuma,1485.1,882.3,1.6832
C078,Nyasa District,Ruvuma,1614.3,914.1,1.766
C079,Namtumbo District,Ruvuma,1347.7,1039.4,1.2966
C080,Iringa District,Iringa,703.2,1322.3,0.5318
C081,Iringa Municipal,Iringa,710.9,825.1,0.8615
C082,Mafinga Town,Iringa,1162.6,772.4,1.5053
C083,Mufindi District,Iringa,1455.0,748.2,1.9446
C084,Kilolo District,Iringa,1351.4,828.5,1.6312
C085,Chunya District,Mbeya,1119.8,936.4,1.1958
C086,Mbeya District,Mbeya,1467.4,787.8,1.8627
C087,Mbeya City,Mbeya,1204.8,787.8,1.5293
C088,Kyela District,Mbeya,1976.8,999.5,1.9779
C089,Rungwe District,Mbeya,2186.4,781.6,2.7972
C090,Busokelo District,Mbeya,2174.8,814.5,2.6701
C091,Mbarali District,Mbeya,889.9,1103.5,0.8064
C092,Iramba District,Singida,846.7,1124.5,0.7529
C093,Singida District,Singida,743.4,909.0,0.8178
C094,Singida Municipal,Singida,711.6,947.8,0.7508
C095,Manyoni District,Singida,676.0,1177.9,0.5739
C096,Itigi District,Singida,790.6,1004.1,0.7873
C097,Ikungi District,Singida,762.9,1042.3,0.7319
C098,Mkalama District,Singida,795.6,1035.3,0.7684
C099,Nzega Town,Tabora,916.7,1200.9,0.7634
C100,Nzega District,Tabora,996.4,1165.7,0.8547
C101,Igunga District,Tabora,866.8,1301.4,0.6661
C102,Uyui District,Tabora,1060.4,1152.7,0.92
C103,Urambo District,Tabora,1168.0,1182.8,0.9875
C104,Sikonge District,Tabora,1078.1,1197.0,0.9007
C105,Tabora Municipal,Tabora,1121.8,1192.2,0.9409
C106,Kaliua District,Tabora,1093.0,1169.5,0.9346
C107,Kalambo District,Rukwa,1142.4,855.5,1.3354
C108,Sumbawanga District,Rukwa,1084.3,1020.8,1.0622
C109,Sumbawanga Municipal,Rukwa,1030.6,787.0,1.3095
C110,Nkasi District,Rukwa,1056.0,925.0,1.1417
C111,Kibondo District,Kigoma,1182.5,1072.1,1.1029
C112,Kasulu District,Kigoma,1281.5,1070.1,1.1975
C113,Kasulu Town,Kigoma,1372.1,968.6,1.4166
C114,Kigoma District,Kigoma,1339.5,1119.6,1.1964
C115,Kigoma Ujiji City,Kigoma,1070.6,1218.6,0.8786
C116,Uvinza District,Kigoma,1206.4,982.1,1.2285
C117,Buhigwe District,Kigoma,1487.0,968.8,1.5349
C118,Kakonko District,Kigoma,1122.8,1027.5,1.0927
C119,Ushetu District,Shinyanga,1022.5,1110.9,0.9204
C120,Kahama Municipal,Shinyanga,960.7,1150.2,0.8353
C121,Msalala District,Shinyanga,977.4,1141.0,0.8566
C122,Kishapu District,Shinyanga,795.5,1309.2,0.6076
C123,Shinyanga District,Shinyanga,988.6,1208.0,0.8183
C124,Shinyanga Municipal,Shinyanga,867.6,1311.0,0.6617
C125,Karagwe District,Kagera,1184.3,953.3,1.2424
C126,Bukoba District,Kagera,1622.6,957.9,1.6938
C127,Bukoba Municipal,Kagera,2154.0,1011.0,2.1306
C128,Muleba District,Kagera,1416.4,951.3,1.489
C129,Biharamulo District,Kagera,1137.9,1002.5,1.1351
C130,Ngara District,Kagera,1056.6,949.5,1.1127
C131,Kyerwa District,Kagera,1139.5,958.4,1.189
C132,Missenyi District,Kagera,1392.3,954.8,1.4583
C133,Ukerewe District,Mwanza,1434.1,1175.1,1.2203
C134,Magu District,Mwanza,1159.0,1162.6,0.9968
C135,Mwanza City,Mwanza,1130.3,1152.0,0.9812
C136,Kwimba District,Mwanza,952.1,1151.1,0.8272
C137,Sengerema District,Mwanza,1182.1,1110.4,1.0646
C138,Buchosa District,Mwanza,1311.3,1106.5,1.185
C139,Ilemela Municipal,Mwanza,1158.3,1152.2,1.0053
C140,Misungwi District,Mwanza,1055.6,1146.4,0.9208
C141,Tarime District,Mara,1494.7,1063.0,1.4061
C142,Tarime Town,Mara,1647.9,966.2,1.7056
C143,Serengeti District,Mara,988.3,1053.7,0.9379
C144,Musoma District,Mara,1132.7,1176.3,0.9629
C145,Musoma Municipal,Mara,960.9,1156.7,0.8307
C146,Bunda District,Mara,1114.5,1098.0,1.015
C147,Bunda Town,Mara,1097.8,1150.4,0.9544
C148,Butiama District,Mara,1206.8,1031.4,1.1701
C149,Rorya District,Mara,1220.8,1110.3,1.0994
C150,Babati District,Manyara,828.2,975.5,0.849
C151,Babati Town,Manyara,897.0,936.6,0.9578
C152,Hanang District,Manyara,819.6,855.4,0.9581
C153,Mbulu District,Manyara,745.5,850.6,0.8765
C154,Mbulu Town,Manyara,900.6,931.8,0.9665
C155,Simanjiro District,Manyara,697.6,943.2,0.7396
C156,Kiteto District,Manyara,719.4,962.0,0.7479
C157,Njombe District,Njombe,1748.9,832.1,2.1017
C158,Njombe Town,Njombe,1652.7,759.8,2.1752
C159,Makambako Town,Njombe,1364.6,802.7,1.7001
C160,Ludewa District,Njombe,1362.4,864.6,1.5758
C161,Makete District,Njombe,1665.1,695.4,2.3943
C162,Wanging'Ombe District,Njombe,1097.1,850.0,1.2907
C163,Mpanda Municipal,Katavi,1142.7,1205.5,0.948
C164,Nsimbo District,Katavi,1084.2,1165.9,0.93
C165,Tanganyika District,Katavi,1207.7,918.4,1.315
C166,Mlele District,Katavi,1114.4,1176.1,0.9476
C167,Mpimbwe District,Katavi,1040.3,1206.0,0.8626
C168,Bariadi District,Simiyu,939.8,1100.1,0.8542
C169,Bariadi Town,Simiyu,1017.0,1144.5,0.8886
C170,Itilima District,Simiyu,871.1,1014.1,0.859
C171,Meatu District,Simiyu,857.7,1113.2,0.7704
C172,Maswa District,Simiyu,909.0,1121.4,0.8106
C173,Busega District,Simiyu,1133.4,1140.6,0.9937
C174,Geita District,Geita,1129.0,1043.1,1.0823
C175,Geita Town,Geita,1100.6,1040.5,1.0578
C176,Nyang'Hwale District,Geita,1054.3,1097.7,0.9605
C177,Halmashuari Ya Wilaya Ya Mbogwe District,Geita,1003.5,1116.4,0.8989
C178,Bukombe District,Geita,1078.5,1101.5,0.9792
C179,Chato District,Geita,1091.5,1143.4,0.9546
C180,Momba District,Songwe,1033.3,1091.6,0.9466
C181,Tunduma Town,Songwe,1029.5,899.7,1.1443
C182,Songwe District,Songwe,1227.0,1015.7,1.208
C183,Mbozi District,Songwe,1257.4,910.3,1.3813
C184,Ileje District,Songwe,1751.2,842.0,2.0799
C185,Kaskazini A Town,Kaskazini Unguja,1837.3,1532.5,1.1989
C186,Kaskazini B Town,Kaskazini Unguja,2020.8,1582.6,1.2769
C187,Kati Town,Kusini Unguja,1945.2,1627.3,1.1954
C188,Kusini District,Kusini Unguja,1965.5,1612.7,1.2187
C189,Mjini Municipal,Mjini Magharibi,1796.3,1627.3,1.1039
C190,Magharibi A Municipal,Mjini Magharibi,1977.3,1582.4,1.2495
C191,Magharibi B Municipal,Mjini Magharibi,1835.7,1627.2,1.1281
C192,Wete Town,Kaskazini Pemba,1718.0,1540.4,1.1153
C193,Micheweni District,Kaskazini Pemba,1508.9,1540.5,0.9795
C194,Chake Chake Town,Kusini Pemba,1967.7,1540.1,1.2777
C195,Mkoani Town,Kusini Pemba,2225.3,1557.3,1.429
