dist_name,reg_name,mean_annual_rain,rain_cv,rainy_season,season_cv,season_fail_freq,spei_severity,drought_index
Chake Chake,Kusini Pemba,1963.27,0.244,M-A-M-J,0.273,0.294,1.481,4.84
Mkoani,Kusini Pemba,2255.149,0.245,M-A-M-J,0.299,0.265,1.506,4.22
Kaskazini B,Kaskazini Unguja,2011.168,0.231,M-A-M-J,0.257,0.235,1.514,4.1
Kaskazini A,Kaskazini Unguja,1817.084,0.223,M-A-M-J,0.25,0.235,1.554,4.69
Rombo,Kilimanjaro,1783.298,0.195,F-M-A-M,0.245,0.235,1.585,4.42
Momba,Songwe,1027.876,0.123,D-J-F-M,0.139,0.088,1.539,2.76
Songwe,Songwe,1232.412,0.128,D-J-F-M,0.146,0.059,1.5,1.88
Same,Kilimanjaro,845.825,0.233,D-J-F-M,0.314,0.235,1.626,8.44
Njombe,Njombe,1666.111,0.136,J-F-M-A,0.159,0.088,1.434,0.77
Mbozi,Songwe,1253.0,0.123,D-J-F-M,0.137,0.059,1.7,2.99
Mwanga,Kilimanjaro,850.957,0.217,J-F-M-A,0.331,0.294,1.513,8.01
Ludewa,Njombe,1375.167,0.123,J-F-M-A,0.139,0.059,1.463,1.09
Ileje,Songwe,1772.253,0.152,J-F-M-A,0.202,0.176,1.483,2.17
Hai,Kilimanjaro,1262.823,0.206,M-A-M-J,0.229,0.176,1.513,4.91
Makete,Njombe,1660.412,0.116,D-J-F-M,0.119,0.029,1.49,0.0
Moshi,Kilimanjaro,1164.02,0.209,M-A-M-J,0.231,0.176,1.484,5.06
Misungwi,Mwanza,1083.642,0.171,J-F-M-A,0.202,0.118,1.458,3.69
Wanging'ombe,Njombe,1087.032,0.136,D-J-F-M,0.144,0.059,1.483,2.27
Siha,Kilimanjaro,1218.974,0.216,F-M-A-M,0.234,0.206,1.546,5.72
Kigamboni,Dar es Salaam,1253.111,0.247,F-M-A-M,0.292,0.265,1.515,6.92
Nyamagana,Mwanza,1164.319,0.178,N-D-J-F,0.25,0.324,1.485,5.86
Temeke,Dar es Salaam,1231.178,0.257,F-M-A-M,0.298,0.265,1.461,6.85
Kwimba,Mwanza,981.658,0.179,J-F-M-A,0.209,0.088,1.417,3.64
Sengerema,Mwanza,1268.616,0.174,J-F-M-A,0.207,0.235,1.487,4.46
Ubungo,Dar es Salaam,1062.945,0.256,F-M-A-M,0.288,0.235,1.432,6.77
Ilemela,Mwanza,1175.28,0.176,J-F-M-A,0.219,0.235,1.501,4.94
Ilala,Dar es Salaam,1252.867,0.255,F-M-A-M,0.284,0.235,1.488,6.58
Ukerewe,Mwanza,1462.269,0.161,D-J-F-M,0.255,0.265,1.469,4.21
Kinondoni,Dar es Salaam,1003.661,0.262,F-M-A-M,0.309,0.294,1.489,8.07
Namtumbo,Ruvuma,1361.262,0.138,D-J-F-M,0.16,0.118,1.516,2.42
Nzega,Tabora,1024.102,0.212,D-J-F-M,0.203,0.147,1.503,5.15
Magu,Mwanza,1189.636,0.171,J-F-M-A,0.209,0.265,1.487,4.87
Uyui,Tabora,1091.271,0.199,D-J-F-M,0.201,0.176,1.537,5.18
Songea,Ruvuma,1522.17,0.135,J-F-M-A,0.168,0.088,1.519,1.78
Igunga,Tabora,898.445,0.21,D-J-F-M,0.211,0.176,1.539,6.0
Tunduru,Ruvuma,1117.861,0.157,D-J-F-M,0.179,0.118,1.512,3.53
Sikonge,Tabora,1106.593,0.179,D-J-F-M,0.187,0.147,1.518,4.3
Nyasa,Ruvuma,1609.169,0.135,D-J-F-M,0.147,0.088,1.431,0.79
Urambo,Tabora,1202.337,0.197,D-J-F-M,0.187,0.147,1.505,4.29
Mbinga,Ruvuma,1353.11,0.127,D-J-F-M,0.139,0.059,1.528,1.65
Kaliua,Tabora,1127.572,0.187,D-J-F-M,0.169,0.147,1.536,4.36
Tabora,Tabora,1159.626,0.221,D-J-F-M,0.217,0.206,1.484,5.41
Micheweni,Kaskazini Pemba,1509.828,0.255,M-A-M-J,0.267,0.265,1.45,5.74
Mkinga,Tanga,1262.292,0.282,M-A-M-J,0.279,0.324,1.526,7.99
Wete,Kaskazini Pemba,1744.097,0.254,M-A-M-J,0.268,0.265,1.393,4.73
Kiteto,Manyara,722.04,0.227,D-J-F-M,0.256,0.265,1.596,8.22
Geita,Geita,1158.624,0.175,J-F-M-A,0.203,0.176,1.513,4.41
Lushoto,Tanga,1052.531,0.257,O-N-D-J,0.455,0.353,1.562,10.0
Korogwe,Tanga,1022.821,0.242,F-M-A-M,0.243,0.206,1.624,7.31
Mbogwe,Geita,1031.006,0.188,J-F-M-A,0.205,0.176,1.535,5.17
Muheza,Tanga,1482.595,0.274,M-A-M-J,0.253,0.265,1.587,6.98
Hanang,Manyara,825.043,0.256,D-J-F-M,0.286,0.235,1.624,8.68
Nyang'hwale,Geita,1087.236,0.192,J-F-M-A,0.211,0.118,1.508,4.48
Tanga,Tanga,1425.728,0.29,M-A-M-J,0.273,0.324,1.491,7.41
Babati,Manyara,836.219,0.246,J-F-M-A,0.279,0.176,1.489,7.02
Chato,Geita,1118.27,0.15,J-F-M-A,0.178,0.147,1.413,2.98
Pangani,Tanga,1188.507,0.266,M-A-M-J,0.251,0.176,1.609,7.03
Simanjiro,Manyara,695.063,0.211,J-F-M-A,0.296,0.265,1.712,9.12
Bukombe,Geita,1108.995,0.164,J-F-M-A,0.169,0.118,1.439,3.11
Handeni,Tanga,1076.008,0.226,F-M-A-M,0.242,0.147,1.481,5.42
Missenyi,Kagera,1417.485,0.142,F-M-A-M,0.15,0.088,1.471,1.7
Mbulu,Manyara,788.453,0.276,D-J-F-M,0.31,0.235,1.653,9.52
Kilindi,Tanga,931.762,0.216,J-F-M-A,0.295,0.294,1.595,8.03
Biharamulo,Kagera,1162.259,0.148,J-F-M-A,0.176,0.147,1.405,2.75
Muleba,Kagera,1445.127,0.168,F-M-A-M,0.183,0.147,1.509,3.12
Kyerwa,Kagera,1145.363,0.145,F-M-A-M,0.168,0.059,1.447,2.23
Ngara,Kagera,1075.584,0.145,J-F-M-A,0.173,0.147,1.478,3.38
Bukoba,Kagera,1694.429,0.149,F-M-A-M,0.155,0.088,1.494,1.29
Karagwe,Kagera,1199.805,0.165,F-M-A-M,0.183,0.118,1.456,3.11
Kishapu,Shinyanga,828.533,0.206,D-J-F-M,0.206,0.147,1.535,5.8
Mkalama,Singida,815.697,0.241,D-J-F-M,0.273,0.206,1.44,6.85
Shinyanga,Shinyanga,1003.072,0.197,J-F-M-A,0.201,0.088,1.47,4.22
Manyoni,Singida,760.225,0.197,D-J-F-M,0.19,0.176,1.628,6.55
Kahama,Shinyanga,1029.252,0.205,J-F-M-A,0.2,0.147,1.522,5.11
Ikungi,Singida,780.306,0.202,D-J-F-M,0.215,0.147,1.542,5.97
Iramba,Singida,878.49,0.219,D-J-F-M,0.231,0.147,1.5,5.88
Singida,Singida,749.24,0.24,D-J-F-M,0.253,0.235,1.678,8.69
Magharibi A,Mjini Magharibi,1975.03,0.251,M-A-M-J,0.282,0.235,1.476,4.5
Magharibi B,Mjini Magharibi,1824.505,0.247,M-A-M-J,0.306,0.235,1.503,5.2
Bunda,Mara,1124.19,0.156,F-M-A-M,0.177,0.059,1.454,2.6
Butiama,Mara,1222.44,0.164,F-M-A-M,0.169,0.088,1.433,2.52
Mjini,Mjini Magharibi,,,,,,,
Serengeti,Mara,1010.74,0.162,J-F-M-A,0.243,0.206,1.459,4.78
Musoma,Mara,1148.163,0.174,F-M-A-M,0.181,0.118,1.531,3.9
Rorya,Mara,1237.009,0.175,F-M-A-M,0.168,0.118,1.444,2.98
Chemba,Dodoma,695.854,0.213,D-J-F-M,0.233,0.235,1.736,8.56
Kilombero,Morogoro,1597.976,0.17,J-F-M-A,0.193,0.206,1.452,2.92
Busega,Simiyu,1155.105,0.172,J-F-M-A,0.218,0.176,1.483,4.29
Bahi,Dodoma,679.859,0.216,D-J-F-M,0.222,0.206,1.675,7.93
Morogoro,Morogoro,1299.938,0.188,J-F-M-A,0.222,0.176,1.57,4.83
Dodoma,Dodoma,721.193,0.219,D-J-F-M,0.223,0.206,1.603,7.39
Kilosa,Morogoro,1142.445,0.181,J-F-M-A,0.214,0.147,1.492,4.29
Tarime,Mara,1534.893,0.157,F-M-A-M,0.165,0.059,1.5,1.75
Meatu,Simiyu,878.425,0.207,D-J-F-M,0.231,0.206,1.581,6.67
Chamwino,Dodoma,678.726,0.21,D-J-F-M,0.216,0.206,1.701,7.95
Maswa,Simiyu,941.245,0.182,D-J-F-M,0.183,0.118,1.467,4.19
Kongwa,Dodoma,697.152,0.22,D-J-F-M,0.233,0.206,1.569,7.33
Gairo,Morogoro,965.473,0.203,J-F-M-A,0.243,0.176,1.654,6.72
Bariadi,Simiyu,963.084,0.164,J-F-M-A,0.239,0.206,1.475,5.03
Mpwapwa,Dodoma,754.0,0.216,D-J-F-M,0.217,0.206,1.53,6.72
Mvomero,Morogoro,1105.96,0.191,J-F-M-A,0.23,0.235,1.529,5.66
Itilima,Simiyu,897.067,0.18,J-F-M-A,0.253,0.235,1.517,6.11
