counc_code,council,region,drought_index,heatwave_index,heavy_rain_index,heavy_days_yr,vheavy_days_yr,pop2022,area_km2,density,exposure_index,pop_matched
C001,Kondoa District,Dodoma,8.52,3.33,0.0,0.0,0.0,244854,4578.1,53.5,3.16,1
C002,Kondoa Town,Dodoma,8.49,3.4,0.21,0.3,0.0,80443,1474.9,54.5,3.19,1
C003,Mpwapwa District,Dodoma,6.74,3.84,0.07,0.1,0.0,403247,7427.6,54.3,3.18,1
C004,Kongwa District,Dodoma,7.23,3.79,0.0,0.0,0.0,443867,3917.6,113.3,4.08,1
C005,Chamwino District,Dodoma,7.83,4.55,0.07,0.1,0.0,486176,9085.0,53.5,3.16,1
C006,Dodoma City,Dodoma,7.23,4.32,0.14,0.2,0.0,765179,2601.7,294.1,5.24,1
C007,Bahi District,Dodoma,7.82,5.13,0.0,0.0,0.0,322526,5434.7,59.3,3.29,1
C008,Chemba District,Dodoma,8.41,4.0,0.0,0.0,0.0,339333,7445.1,45.6,2.97,1
C009,Monduli District,Arusha,9.0,3.83,0.21,0.3,0.0,227585,6897.8,33.0,2.58,1
C010,Meru District,Arusha,6.87,1.83,0.5,0.7,0.0,331603,1324.5,250.4,5.04,1
C011,Arusha District,Arusha,7.12,1.97,0.36,0.5,0.0,449518,1260.5,356.6,5.47,1
C012,Longido District,Arusha,9.48,3.49,0.21,0.3,0.0,175915,7987.5,22.0,2.08,1
C013,Karatu District,Arusha,8.59,3.62,0.07,0.1,0.0,280454,3096.7,90.6,3.8,1
C014,Ngorongoro District,Arusha,8.25,2.68,0.07,0.1,0.0,273549,15063.8,18.2,1.85,1
C015,Arusha City,Arusha,7.49,3.67,0.57,0.8,0.0,617631,273.8,2256.2,7.72,1
C016,Rombo District,Kilimanjaro,4.63,0.55,3.14,4.0,0.2,275314,1449.5,189.9,4.71,1
C017,Mwanga District,Kilimanjaro,8.11,4.67,0.36,0.5,0.0,148763,1968.2,75.6,3.58,1
C018,Same District,Kilimanjaro,8.31,3.93,0.21,0.3,0.0,300303,6162.0,48.7,3.05,1
C019,Moshi Municipal,Kilimanjaro,7.26,1.41,1.29,1.8,0.0,221733,54.3,4082.1,8.44,1
C020,Moshi District,Kilimanjaro,5.29,5.19,1.14,1.6,0.0,535803,1379.5,388.4,5.58,1
C021,Hai District,Kilimanjaro,5.05,1.41,1.14,1.6,0.0,240999,910.9,264.6,5.11,1
C022,Siha District,Kilimanjaro,5.86,2.22,1.29,1.8,0.0,139019,1203.2,115.5,4.1,1
C023,Lushoto District,Tanga,10.0,4.61,0.71,0.8,0.1,350958,3518.9,99.7,3.92,1
C024,Bumbuli District,Tanga,6.23,3.9,1.43,1.4,0.3,159373,797.3,199.9,4.77,1
C025,Korogwe District,Tanga,7.28,4.47,0.57,0.6,0.1,272870,3244.9,84.1,3.71,1
C026,Korogwe Town,Tanga,6.11,5.11,1.71,1.8,0.3,86551,212.1,408.1,5.64,1
C027,Muheza District,Tanga,7.01,5.74,2.36,2.7,0.3,238260,1534.0,155.3,4.46,1
C028,Tanga City,Tanga,7.52,6.17,2.93,2.9,0.6,393429,605.2,650.1,6.2,1
C029,Pangani District,Tanga,7.01,6.05,1.21,1.3,0.2,75642,1802.3,42.0,2.87,1
C030,Handeni District,Tanga,5.58,4.79,0.93,0.9,0.2,384353,6604.6,58.2,3.27,1
C031,Handeni Town,Tanga,7.12,4.19,0.43,0.4,0.1,108968,833.8,130.7,4.25,1
C032,Kilindi District,Tanga,7.99,3.19,0.36,0.5,0.0,398391,7021.4,56.7,3.24,1
C033,Mkinga District,Tanga,7.98,6.06,1.64,1.7,0.3,146802,2691.1,54.6,3.19,1
C034,Kilosa District,Morogoro,4.54,5.0,0.36,0.5,0.0,617032,11736.6,52.6,3.14,1
C035,Morogoro District,Morogoro,4.96,4.46,0.64,0.9,0.0,387736,11360.9,34.1,2.62,1
C036,Morogoro Municipal,Morogoro,5.84,4.99,0.29,0.4,0.0,471409,561.4,839.6,6.51,1
C037,Mlimba District,Morogoro,2.93,6.19,1.71,2.2,0.1,292536,6531.0,44.8,2.95,1
C038,Ifakara Town,Morogoro,4.14,6.11,0.79,1.1,0.0,290424,6618.3,43.9,2.92,1
C039,Ulanga District,Morogoro,4.0,5.57,0.79,0.7,0.2,232895,14001.6,16.6,1.74,1
C040,Malinyi District,Morogoro,2.95,4.63,0.93,1.1,0.1,225126,9528.8,23.6,2.17,1
C041,Mvomero District,Morogoro,5.83,5.5,0.21,0.3,0.0,421741,7684.1,54.9,3.2,1
C042,Gairo District,Morogoro,6.65,2.83,0.14,0.2,0.0,258205,2062.7,125.2,4.2,1
C043,Bagamoyo District,Pwani,6.89,6.13,0.5,0.7,0.0,205478,1534.6,133.9,4.28,1
C044,Chalinze District,Pwani,6.1,5.28,0.21,0.3,0.0,316759,6941.7,45.6,2.97,1
C045,Kibaha District,Pwani,6.83,6.11,0.57,0.8,0.0,123367,1642.3,75.1,3.58,1
C046,Kibaha Town,Pwani,6.75,6.03,0.71,1.0,0.0,265360,700.8,378.7,5.54,1
C047,Kisarawe District,Pwani,6.58,5.72,0.43,0.6,0.0,159226,4685.3,34.0,2.61,1
C048,Mkuranga District,Pwani,6.81,6.27,1.36,1.9,0.0,533033,3207.6,166.2,4.54,1
C049,Rufiji District,Pwani,5.98,6.5,0.14,0.2,0.0,159906,9155.8,17.5,1.8,1
C050,Mafia District,Pwani,2.15,6.17,7.07,7.7,1.1,66180,467.9,141.4,4.35,1
C051,Kibiti District,Pwani,6.95,6.02,0.86,1.2,0.0,195638,3721.6,52.6,3.14,1
C052,Kinondoni Municipal,Dar es Salaam,8.07,6.08,0.71,1.0,0.0,982328,267.3,3675.7,8.31,1
C053,Dar Es Salaam City,Dar es Salaam,6.72,6.19,1.64,2.1,0.1,1176512,351.2,3350.1,8.2,0
