counc_code,council_name,type,district,region,data_unit,is_new
11,Kondoa District,District,Kondoa,Dodoma,Kondoa,
22,Kondoa Town,Town,Kondoa,Dodoma,Kondoa,
11,Mpwapwa District,District,Mpwapwa,Dodoma,Mpwapwa,
11,Kongwa District,District,Kongwa,Dodoma,Kongwa,
11,Chamwino District,District,Chamwino,Dodoma,Chamwino,
14,Dodoma City,City,Dodoma,Dodoma,Dodoma Urban,
11,Bahi District,District,Bahi,Dodoma,Bahi,
11,Chemba District,District,Chemba,Dodoma,Chemba,
11,Monduli District,District,Monduli,Arusha,Monduli,
11,Meru District,District,Arumeru,Arusha,Meru,
21,Arusha District,District,Arumeru,Arusha,Arusha,
11,Longido District,District,Longido,Arusha,Longido,
11,Karatu District,District,Karatu,Arusha,Karatu,
11,Ngorongoro District,District,Ngorongoro,Arusha,Ngorongoro,
14,Arusha City,City,Arusha,Arusha,Arusha Urban,
11,Rombo District,District,Rombo,Kilimanjaro,Rombo,
11,Mwanga District,District,Mwanga,Kilimanjaro,Mwanga,
11,Same District,District,Same,Kilimanjaro,Same,
13,Moshi Municipal,Municipal,Moshi,Kilimanjaro,Moshi Urban,
21,Moshi District,District,Moshi,Kilimanjaro,Moshi,
11,Hai District,District,Hai,Kilimanjaro,Hai,
11,Siha District,District,Siha,Kilimanjaro,Siha,
11,Lushoto District,District,Lushoto,Tanga,Lushoto,
21,Bumbuli District,District,Lushoto,Tanga,Lushoto,yes
11,Korogwe District,District,Korogwe,Tanga,Korogwe,
22,Korogwe Town,Town,Korogwe,Tanga,Korogwe,
11,Muheza District,District,Muheza,Tanga,Muheza,
14,Tanga City,City,Tanga,Tanga,Tanga Urban,
11,Pangani District,District,Pangani,Tanga,Pangani,
11,Handeni District,District,Handeni,Tanga,Handeni,
22,Handeni Town,Town,Handeni,Tanga,Handeni,
11,Kilindi District,District,Kilindi,Tanga,Kilindi,
11,Mkinga District,District,Mkinga,Tanga,Mkinga,
11,Kilosa District,District,Kilosa,Morogoro,Kilosa,
11,Morogoro District,District,Morogoro,Morogoro,Morogoro,
23,Morogoro Municipal,Municipal,Morogoro,Morogoro,Morogoro Urban,
11,Mlimba District,District,Kilombero,Morogoro,Kilombero,yes
22,Ifakara Town,Town,Kilombero,Morogoro,Kilombero,yes
11,Ulanga District,District,Ulanga,Morogoro,Ulanga,
11,Malinyi District,District,Malinyi,Morogoro,Ulanga,yes
11,Mvomero District,District,Mvomero,Morogoro,Mvomero,
11,Gairo District,District,Gairo,Morogoro,Gairo,
11,Bagamoyo District,District,Bagamoyo,Pwani,Bagamoyo,
21,Chalinze District,District,Bagamoyo,Pwani,Bagamoyo,yes
11,Kibaha District,District,Kibaha,Pwani,Kibaha,
22,Kibaha Town,Town,Kibaha,Pwani,Kibaha,
11,Kisarawe District,District,Kisarawe,Pwani,Kisarawe,
11,Mkuranga District,District,Mkuranga,Pwani,Mkuranga,
11,Rufiji District,District,Rufiji,Pwani,Rufiji,
11,Mafia District,District,Mafia,Pwani,Mafia,
11,Kibiti District,District,Kibiti,Pwani,Rufiji,yes
13,Kinondoni Municipal,Municipal,Kinondoni,Dar es Salaam,Kinondoni,
14,Dar Es Salaam City,City,Ilala,Dar es Salaam,Ilala,yes
13,Temeke Municipal,Municipal,Temeke,Dar es Salaam,Temeke,
13,Kigamboni Municipal,Municipal,Kigamboni,Dar es Salaam,Temeke,yes
13,Ubungo Municipal,Municipal,Ubungo,Dar es Salaam,Kinondoni,yes
11,Kilwa District,District,Kilwa,Lindi,Kilwa,
11,Mtama District,District,Lindi,Lindi,Lindi,yes
23,Lindi Municipal,Municipal,Lindi,Lindi,Lindi Urban,
11,Nachingwea District,District,Nachingwea,Lindi,Nachingwea,
11,Liwale District,District,Liwale,Lindi,Liwale,
11,Ruangwa District,District,Ruangwa,Lindi,Ruangwa,
11,Mtwara District,District,Mtwara,Mtwara,Mtwara,
22,Nanyamba Town,Town,Mtwara,Mtwara,Mtwara,yes
33,Mtwara Mikindani Municipal,Municipal,Mtwara,Mtwara,Mtwara,yes
11,Newala District,District,Newala,Mtwara,Newala,
22,Newala Town,Town,Newala,Mtwara,Newala,
11,Masasi District,District,Masasi,Mtwara,Masasi,
22,Masasi Town,Town,Masasi,Mtwara,Masasi,
11,Tandahimba District,District,Tandahimba,Mtwara,Tandahimba,
11,Nanyumbu District,District,Nanyumbu,Mtwara,Nanyumbu,
11,Tunduru District,District,Tunduru,Ruvuma,Tunduru,
11,Songea District,District,Songea,Ruvuma,Songea,
23,Songea Municipal,Municipal,Songea,Ruvuma,Songea Urban,
31,Madaba District,District,Songea,Ruvuma,Songea,yes
11,Mbinga District,District,Mbinga,Ruvuma,Mbinga,
22,Mbinga Town,Town,Mbinga,Ruvuma,Mbinga,
11,Nyasa District,District,Nyasa,Ruvuma,Nyasa,
11,Namtumbo District,District,Namtumbo,Ruvuma,Namtumbo,
11,Iringa District,District,Iringa,Iringa,Iringa,
23,Iringa Municipal,Municipal,Iringa,Iringa,Iringa Urban,
12,Mafinga Town,Town,Mufindi,Iringa,Mufindi,yes
21,Mufindi District,District,Mufindi,Iringa,Mufindi,
11,Kilolo District,District,Kilolo,Iringa,Kilolo,
11,Chunya District,District,Chunya,Mbeya,Chunya,
11,Mbeya District,District,Mbeya,Mbeya,Mbeya,
24,Mbeya City,City,Mbeya,Mbeya,Mbeya Urban,
11,Kyela District,District,Kyela,Mbeya,Kyela,
11,Rungwe District,District,Rungwe,Mbeya,Rungwe,
21,Busokelo District,District,Rungwe,Mbeya,Rungwe,yes
11,Mbarali District,District,Mbarali,Mbeya,Mbarali,
11,Iramba District,District,Iramba,Singida,Iramba,
11,Singida District,District,Singida,Singida,Singida,
23,Singida Municipal,Municipal,Singida,Singida,Singida Urban,
11,Manyoni District,District,Manyoni,Singida,Manyoni,
