dist_name,reg_name,max_felt,n_events_50km,earthquake_index
Mbulu,Manyara,7.44,14,10.0
Uvinza,Kigoma,7.17,2,8.53
Tanganyika,Katavi,7.17,1,8.53
Mkalama,Singida,7.03,12,7.74
Nkasi,Rukwa,6.97,1,7.39
Hanang,Manyara,6.96,8,7.32
Karatu,Arusha,6.9,6,7.03
Mpanda,Katavi,6.85,8,6.74
Kigoma,Kigoma,6.83,6,6.61
Babati,Manyara,6.8,11,6.47
Singida,Singida,6.77,5,6.26
Buhigwe,Kigoma,6.71,1,5.96
Kasulu,Kigoma,6.7,1,5.9
Meatu,Simiyu,6.67,1,5.71
Iramba,Singida,6.64,3,5.56
Longido,Arusha,6.63,19,5.49
Mlele,Katavi,6.6,0,5.33
Kalambo,Rukwa,6.59,1,5.26
Kondoa,Dodoma,6.58,8,5.21
Kaliua,Tabora,6.56,0,5.13
Kibondo,Kigoma,6.53,0,4.97
Sumbawanga,Rukwa,6.51,4,4.84
Urambo,Tabora,6.5,0,4.8
Ikungi,Singida,6.47,6,4.62
Monduli,Arusha,6.46,2,4.57
Missenyi,Kagera,6.43,1,4.37
Chemba,Dodoma,6.43,27,4.36
Itilima,Simiyu,6.42,0,4.33
Ngorongoro,Arusha,6.41,2,4.26
Kishapu,Shinyanga,6.4,2,4.22
Igunga,Tabora,6.37,2,4.06
Bukombe,Geita,6.37,0,4.06
Kakonko,Kigoma,6.35,0,3.95
Tabora,Tabora,6.35,0,3.92
Songwe,Songwe,6.34,0,3.89
Maswa,Simiyu,6.34,2,3.87
Sikonge,Tabora,6.34,1,3.86
Arusha,Arusha,6.3,1,3.68
Bariadi,Simiyu,6.3,0,3.63
Kahama,Shinyanga,6.29,3,3.61
Ngara,Kagera,6.28,0,3.54
Mbogwe,Geita,6.27,2,3.52
Uyui,Tabora,6.27,0,3.51
Nzega,Tabora,6.26,0,3.45
Momba,Songwe,6.26,11,3.44
Mtwara,Mtwara,6.26,1,3.43
Arumeru,Arusha,6.25,0,3.38
Biharamulo,Kagera,6.25,0,3.36
Kigamboni,Dar es Salaam,6.23,4,3.28
Chato,Geita,6.23,0,3.28
Chunya,Mbeya,6.22,0,3.23
Simanjiro,Manyara,6.2,1,3.12
Bukoba,Kagera,6.2,1,3.09
Mafia,Pwani,6.2,0,3.08
Geita,Geita,6.19,0,3.07
Mbozi,Songwe,6.19,4,3.05
Nyang'hwale,Geita,6.19,2,3.02
Kiteto,Manyara,6.18,0,3.01
Shinyanga,Shinyanga,6.18,0,2.99
Kyela,Mbeya,6.17,5,2.95
Serengeti,Mara,6.16,1,2.91
Kwimba,Mwanza,6.16,0,2.89
