dist_name,reg_name,area_km2,pop2022,density,exposure_index
Chake Chake,Kusini Pemba,227.2,136298,599.9,6.15
Mkoani,Kusini Pemba,264.2,135052,511.2,5.95
Kaskazini B,Kaskazini Unguja,221.4,99921,451.4,5.8
Kaskazini A,Kaskazini Unguja,242.6,157369,648.6,6.24
Rombo,Kilimanjaro,1475.5,275314,186.6,4.72
Momba,Songwe,4809.5,259781,54.0,3.2
Songwe,Songwe,11030.9,229129,20.8,2.03
Same,Kilimanjaro,6147.3,300303,48.9,3.08
Njombe,Njombe,7863.6,437919,55.7,3.24
Mbozi,Songwe,3817.0,510599,133.8,4.31
Mwanga,Kilimanjaro,1969.1,148763,75.6,3.61
Ludewa,Njombe,5872.2,151361,25.8,2.29
Ileje,Songwe,1866.0,125869,67.5,3.47
Hai,Kilimanjaro,898.9,240999,268.1,5.16
Makete,Njombe,4082.7,109160,26.7,2.34
Moshi,Kilimanjaro,1434.9,757536,527.9,5.99
Misungwi,Mwanza,2600.8,467867,179.9,4.67
Wanging'ombe,Njombe,3446.1,191506,55.6,3.23
Siha,Kilimanjaro,1190.2,139019,116.8,4.14
Kigamboni,Dar es Salaam,561.0,317902,566.7,6.08
Nyamagana,Mwanza,183.0,594834,3249.7,8.22
Temeke,Dar es Salaam,152.6,1346674,8822.5,9.44
Kwimba,Mwanza,3237.7,480025,148.3,4.44
Sengerema,Mwanza,3144.6,425415,135.3,4.32
Ubungo,Dar es Salaam,272.3,1086912,3991.9,8.47
Ilemela,Mwanza,248.9,509687,2048.0,7.65
Ilala,Dar es Salaam,355.3,1649912,4643.2,8.66
Ukerewe,Mwanza,604.3,387815,641.8,6.23
Kinondoni,Dar es Salaam,268.2,982328,3663.0,8.37
Namtumbo,Ruvuma,21933.1,271368,12.4,1.39
Nzega,Tabora,7866.2,699691,88.9,3.81
Magu,Mwanza,1533.2,421119,274.7,5.19
Uyui,Tabora,11453.6,562588,49.1,3.08
Songea,Ruvuma,14624.2,464486,31.8,2.55
Igunga,Tabora,7071.6,546204,77.2,3.64
Tunduru,Ruvuma,18643.0,412054,22.1,2.1
Sikonge,Tabora,26500.1,335686,12.7,1.42
Nyasa,Ruvuma,3230.0,191193,59.2,3.31
Urambo,Tabora,5436.8,260322,47.9,3.05
Mbinga,Ruvuma,4730.5,444478,94.0,3.88
Kaliua,Tabora,15761.9,678447,43.0,2.92
Tabora,Tabora,1468.7,308741,210.2,4.86
Micheweni,Kaskazini Pemba,203.4,123379,606.5,6.16
Mkinga,Tanga,2707.2,146802,54.2,3.2
Wete,Kaskazini Pemba,300.3,148712,495.2,5.91
Kiteto,Manyara,12900.0,352305,27.3,2.36
Geita,Geita,4871.5,1396885,286.7,5.24
Lushoto,Tanga,4313.1,350958,81.4,3.7
Korogwe,Tanga,3440.4,359421,104.5,4.01
Mbogwe,Geita,2131.9,362855,170.2,4.61
Muheza,Tanga,1532.7,238260,155.4,4.49
Hanang,Manyara,3592.2,367391,102.3,3.98
Nyang'hwale,Geita,1600.7,225803,141.1,4.38
Tanga,Tanga,596.0,393429,660.1,6.27
Babati,Manyara,5608.0,504772,90.0,3.82
Chato,Geita,2999.6,584963,195.0,4.77
Pangani,Tanga,1798.0,75642,42.1,2.89
Simanjiro,Manyara,19355.5,291169,15.0,1.63
Bukombe,Geita,8015.3,407102,50.8,3.12
Handeni,Tanga,7426.6,493321,66.4,3.45
Missenyi,Kagera,2828.7,245394,86.8,3.78
Mbulu,Manyara,3883.4,376865,97.0,3.92
Kilindi,Tanga,7029.6,398391,56.7,3.26
Biharamulo,Kagera,7360.4,457114,62.1,3.37
