dist_name,reg_name,year,event,source
Rufiji,Pwani,2020,Rufiji river basin floods (displacement),DesInventar/PMO-DMD
Rufiji,Pwani,2018,Lower Rufiji seasonal floods,news/PMO-DMD
Kibiti,Pwani,2020,Delta floods,news
Kilombero,Morogoro,2020,Kilombero valley floods,PMO-DMD/news
Kilombero,Morogoro,2021,Kilombero/Ifakara floods,news
Kilosa,Morogoro,2010,Kilosa town floods (Mkondoa river),DesInventar
Kilosa,Morogoro,2020,Kilosa floods,news
Ulanga,Morogoro,2020,Malinyi/Ulanga floods,news
Kyela,Mbeya,2020,Kyela lowland floods,news
Kyela,Mbeya,2024,Kyela floods,news
Mbarali,Mbeya,2024,Usangu/Mbarali floods,news
Kigoma,Kigoma,2014,Kigoma floods,DesInventar
Uvinza,Kigoma,2023,Malagarasi floods,news
Ilala,Dar es Salaam,2011,Dar es Salaam floods (Msimbazi basin),EM-DAT
Ilala,Dar es Salaam,2018,Dar floods,news
Temeke,Dar es Salaam,2020,Dar floods,news
Kinondoni,Dar es Salaam,2020,Dar floods,news
Ubungo,Dar es Salaam,2019,Dar floods,news
Hanang,Manyara,2023,Katesh/Hanang flash floods & landslides,news/PMO-DMD
Same,Kilimanjaro,2024,Same lowland floods,news
Mwanga,Kilimanjaro,2020,Mwanga floods,news
Babati,Manyara,2021,Lake Babati floods,news
Bahi,Dodoma,2020,Bahi swamp floods,news
Lindi,Lindi,2023,Lindi coastal floods,news
Mtwara,Mtwara,2023,Mtwara coastal floods,news
Tunduru,Ruvuma,2019,Tunduru floods,news
Rorya,Mara,2020,Lake Victoria shoreline floods,news
Musoma,Mara,2020,Mara river floods,news
Sengerema,Mwanza,2024,Lake Victoria floods,news
Morogoro,Morogoro,2018,Morogoro municipal floods,news
