code,council,floodfreq
C001,Kondoa District,0.0039
C002,Kondoa Town,0.0005
C003,Mpwapwa District,0.0015
C004,Kongwa District,0.0227
C005,Chamwino District,0.0052
C006,Dodoma City,0.0065
C007,Bahi District,0.0156
C008,Chemba District,0.0017
C009,Monduli District,0.0354
C010,Meru District,0.0078
C011,Arusha District,0.0194
C012,Longido District,0.0231
C013,Karatu District,0.0086
C014,Ngorongoro District,0.0451
C015,Arusha City,0.0039
C016,Rombo District,0.0027
C017,Mwanga District,0.0007
C018,Same District,0.0044
C019,Moshi Municipal,0.0001
C020,Moshi District,0.0018
C021,Hai District,0.0361
C022,Siha District,0.0042
C023,Lushoto District,0.0004
C024,Bumbuli District,0.0003
C025,Korogwe District,0.0004
C026,Korogwe Town,0.0002
C027,Muheza District,0.0
C028,Tanga City,0.0
C029,Pangani District,0.0002
C030,Handeni District,0.0001
C031,Handeni Town,0.0002
C032,Kilindi District,0.0004
C033,Mkinga District,0.0001
C034,Kilosa District,0.0003
C035,Morogoro District,0.0011
C036,Morogoro Municipal,0.0011
C037,Mlimba District,0.0002
C038,Ifakara Town,0.0008
C039,Ulanga District,0.0001
C040,Malinyi District,0.0003
C041,Mvomero District,0.0007
C042,Gairo District,0.0027
C043,Bagamoyo District,0.0005
C044,Chalinze District,0.0005
C045,Kibaha District,0.0001
C046,Kibaha Town,0.0
C047,Kisarawe District,0.0001
C048,Mkuranga District,0.0002
C049,Rufiji District,0.0008
C050,Mafia District,0.0052
C051,Kibiti District,0.0004
C052,Kinondoni Municipal,0.0004
C053,Dar Es Salaam City,0.0003
C054,Temeke Municipal,0.0011
C055,Kigamboni Municipal,0.0008
C056,Ubungo Municipal,0
C057,Kilwa District,0.0002
C058,Mtama District,0.0001
C059,Lindi Municipal,0.0001
C060,Nachingwea District,0.001
C061,Liwale District,0.0003
C062,Ruangwa District,0.0001
C063,Mtwara District,0.0014
C064,Nanyamba Town,0.0009
C065,Mtwara Mikindani Municipal,0.0005
C066,Newala District,0.0001
C067,Newala Town,0.0002
C068,Masasi District,0.002
C069,Masasi Town,0.0013
C070,Tandahimba District,0.0002
C071,Nanyumbu District,0.0007
C072,Tunduru District,0.0002
C073,Songea District,0.0002
C074,Songea Municipal,0.0
C075,Madaba District,0.0
C076,Mbinga District,0.0002
C077,Mbinga Town,0.0002
C078,Nyasa District,0.0006
C079,Namtumbo District,0.0016
C080,Iringa District,0.0016
C081,Iringa Municipal,0.0002
C082,Mafinga Town,0.0005
C083,Mufindi District,0.0001
C084,Kilolo District,0.0003
C085,Chunya District,0.0003
C086,Mbeya District,0.0003
C087,Mbeya City,0.0001
C088,Kyela District,0.0
C089,Rungwe District,0.0001
C090,Busokelo District,0.0
C091,Mbarali District,0.0057
C092,Iramba District,0.0088
C093,Singida District,0.0037
C094,Singida Municipal,0.0011
C095,Manyoni District,0.0068
C096,Itigi District,0.0001
C097,Ikungi District,0.001
C098,Mkalama District,0.011
C099,Nzega Town,0.0008
C100,Nzega District,0.0014
C101,Igunga District,0.0079
C102,Uyui District,0.0011
C103,Urambo District,0.0
C104,Sikonge District,0.0001
C105,Tabora Municipal,0.0001
C106,Kaliua District,0.001
C107,Kalambo District,0.0005
C108,Sumbawanga District,0.0018
C109,Sumbawanga Municipal,0.0017
C110,Nkasi District,0.0004
C111,Kibondo District,0.0008
C112,Kasulu District,0.0001
C113,Kasulu Town,0.0006
C114,Kigoma District,0.001
C115,Kigoma Ujiji City,0.0025
C116,Uvinza District,0.001
C117,Buhigwe District,0.0005
C118,Kakonko District,0.0001
C119,Ushetu District,0.0
C120,Kahama Municipal,0.0011
C121,Msalala District,0.0025
C122,Kishapu District,0.0117
C123,Shinyanga District,0.0033
C124,Shinyanga Municipal,0.0018
C125,Karagwe District,0.0004
C126,Bukoba District,0.0003
C127,Bukoba Municipal,0.0001
C128,Muleba District,0.0001
C129,Biharamulo District,0.0001
C130,Ngara District,0.0001
C131,Kyerwa District,0.0005
C132,Missenyi District,0.0001
C133,Ukerewe District,0.0002
C134,Magu District,0.0004
C135,Mwanza City,0.0003
C136,Kwimba District,0.0015
C137,Sengerema District,0.0002
C138,Buchosa District,0.0002
C139,Ilemela Municipal,0
C140,Misungwi District,0.0013
C141,Tarime District,0.0002
C142,Tarime Town,0.0
C143,Serengeti District,0.0193
C144,Musoma District,0.0015
C145,Musoma Municipal,0.0
C146,Bunda District,0.0033
C147,Bunda Town,0.0024
C148,Butiama District,0.0003
C149,Rorya District,0.0003
C150,Babati District,0.0099
C151,Babati Town,0.0002
C152,Hanang District,0.0065
C153,Mbulu District,0.0039
C154,Mbulu Town,0.0006
C155,Simanjiro District,0.0046
C156,Kiteto District,0.0036
C157,Njombe District,0.0001
C158,Njombe Town,0.0007
C159,Makambako Town,0.0001
C160,Ludewa District,0.0008
C161,Makete District,0.0014
C162,Wanging'Ombe District,0.0043
C163,Mpanda Municipal,0.0003
