dist_name,reg_name,livelihoods,basis
Kondoa,Dodoma,10,IPC/MUCHALI 2023-24 (Phase 2/3)
Chamwino,Dodoma,10,IPC/MUCHALI 2023-24 (Phase 2/3)
Bahi,Dodoma,10,IPC/MUCHALI 2023-24 (Phase 2/3)
Chemba,Dodoma,10,IPC/MUCHALI 2023-24 (Phase 2/3)
Monduli,Arusha,9,IPC/MUCHALI 2023-24 (Phase 2/3)
Karatu,Arusha,7,IPC/MUCHALI 2023-24 (Phase 2/3)
Ngorongoro,Arusha,7,IPC/MUCHALI 2023-24 (Phase 2/3)
Longido,Arusha,9,IPC/MUCHALI 2023-24 (Phase 2/3)
Mwanga,Kilimanjaro,7,IPC/MUCHALI 2023-24 (Phase 2/3)
Same,Kilimanjaro,7,IPC/MUCHALI 2023-24 (Phase 2/3)
Manyoni,Singida,7,IPC/MUCHALI 2023-24 (Phase 2/3)
Ikungi,Singida,7,IPC/MUCHALI 2023-24 (Phase 2/3)
Mkalama,Singida,7,IPC/MUCHALI 2023-24 (Phase 2/3)
Babati,Manyara,6.8,IPC/MUCHALI 2023-24 (Phase 2/3)
Hanang,Manyara,7,IPC/MUCHALI 2023-24 (Phase 2/3)
Mbulu,Manyara,7,IPC/MUCHALI 2023-24 (Phase 2/3)
Simanjiro,Manyara,7,IPC/MUCHALI 2023-24 (Phase 2/3)
Kiteto,Manyara,7,IPC/MUCHALI 2023-24 (Phase 2/3)
