adm2_code,adm2_name,drought,flood,earthquake,landslide,wildfire,stormsCyclone,coastalHazards,heatwave,lightning,environmentalDegradation,volcano,zoonoses,h_conflictIntensity,h_conflictRisk,h_hazardousMaterial,h_internalViolence,h_vehicleAccidents
TZ0101,Kondoa,7,3.8,10,4.7,4.75,0,0,,,4.35,0,,0,0.7,,1.35,
TZ0102,Mpwapwa,7,4.3,8.7,7.1,4.75,0,0,,,4.35,0,,0,0.7,,1.35,
TZ0103,Kongwa,7,1.9,8,4.8,4.75,0,0,,,4.2,0,,0,0.7,,1.35,
TZ0104,Chamwino,7,4.8,9.9,4.1,4.75,0,0,,,4.9,0,,0,0.7,,1.35,
TZ0105,Dodoma Urban,7,3.1,10,1.2,4.75,0,0,,,3.95,0,,0,0.7,,1.35,
TZ0106,Bahi,7,7.4,10,0.6,4.75,0,0,,,3.85,0,,0,0.7,,1.35,
TZ0107,Chemba,7,5.7,10,4,4.75,0,0,,,5,0,,0,0.7,,1.35,
TZ0201,Monduli,8.6,3.4,10,4.7,4,0,0,,,3.6,10,,0,0.7,,6.85,
TZ0202,Meru,8.6,3.8,10,6.5,4,0,0,,,5,10,,0,0.7,,6.85,
TZ0203,Arusha Urban,8.6,0,10,4.5,4,0,0,,,2.8,10,,0,0.7,,6.85,
TZ0204,Karatu,8.6,4.7,10,5.4,4,0,0,,,4.3,10,,0,0.7,,6.85,
TZ0205,Ngorongoro,8.6,4.7,7.2,6.9,4,0,0,,,4.3,10,,0,0.7,,6.85,
TZ0206,Arusha,8.6,1.2,10,6.5,4,0,0,,,6.15,10,,0,0.7,,6.85,
TZ0207,Longido,8.6,4.7,10,4.8,4,0,0,,,3.1,10,,0,0.7,,6.85,
TZ0301,Rombo,0.7,0,10,7,3.9,0,0,,,5.2,0,,0,0.7,,6.4,
TZ0302,Mwanga,0.7,7,10,7,3.9,0,0,,,4.6,0,,0,0.7,,6.4,
TZ0303,Same,0.7,7.1,10,8.2,3.9,0,0,,,4.4,0,,0,0.7,,6.4,
TZ0304,Moshi,0.7,6,10,7,3.9,0,0,,,3.65,0,,0,0.7,,6.4,
TZ0305,Hai,0.7,4.8,10,7,3.9,0,0,,,3.85,0,,0,0.7,,6.4,
TZ0306,Moshi Urban,0.7,0,10,0,3.9,0,0,,,2.35,0,,0,0.7,,6.4,
TZ0307,Siha,0.7,0,10,5,3.9,0,0,,,5,0,,0,0.7,,6.4,
TZ0401,Lushoto,4.3,1.9,10,8,3.4,0,0,,,5.25,0,,0,0.7,,7,
TZ0402,Korogwe,4.3,8,7.9,8,3.4,0,0,,,5,0,,0,0.7,,7,
TZ0403,Muheza,4.3,5.2,0.6,8,3.4,0,7,,,6.65,0,,0,0.7,,7,
TZ0404,Tanga Urban,4.3,6.3,0,2.6,3.4,0,7,,,6.4,0,,0,0.7,,7,
TZ0405,Pangani,4.3,9.8,0,4.2,3.4,0,7,,,6.1,0,,0,0.7,,7,
TZ0406,Handeni,4.3,3.8,0,1.8,3.4,0,0,,,6.3,0,,0,0.7,,7,
TZ0407,Kilindi,4.3,3.6,0,6.1,3.4,0,0,,,6.15,0,,0,0.7,,7,
TZ0408,Mkinga,4.3,,,,3.4,,7,,,4.9,0,,0,0.7,,7,
TZ0409,Korogwe Township Authority,4.3,8.9,0.1,6.1,3.4,0,0,,,5.3,0,,0,0.7,,7,
TZ0410,Handeni Mji,4.3,2.4,0,1.2,3.4,0,0,,,6.05,0,,0,0.7,,7,
TZ0501,Kilosa,0.7,8.5,5.7,7.3,6.1,0,0,,,5.25,0,,0,0.7,,7.05,
TZ0502,Morogoro,0.7,7,7.3,7.8,6.1,0,0,,,5.3,0,,0,0.7,,7.05,
TZ0503,Kilombero,0.7,8.5,2.5,6.8,6.1,0,0,,,5.45,0,,0,0.7,,7.05,
TZ0504,Ulanga,0.7,8.5,0,4.6,6.1,0,0,,,5.3,0,,0,0.7,,7.05,
TZ0505,Morogoro Urban,0.7,0,0,4.8,6.1,0,0,,,4.75,0,,0,0.7,,7.05,
TZ0506,Mvomero,0.7,7.2,3.2,7.9,6.1,0,0,,,5.25,0,,0,0.7,,7.05,
TZ0507,Gairo,0.7,7,0.1,6.8,6.1,0,0,,,5.35,0,,0,0.7,,7.05,
TZ0601,Bagamoyo,2.9,7,0,1.1,4.5,0,7.5,,,5.35,0,,0,0.7,,6.8,
TZ0602,Kibaha,2.9,6.8,0,0,4.5,0,0,,,5.65,0,,0,0.7,,6.8,
TZ0603,Kisarawe,2.9,4.7,4,1.7,4.5,0,0,,,5.45,0,,0,0.7,,6.8,
TZ0604,Mkuranga,2.9,7,2.5,1.8,4.5,0,7.5,,,5.95,0,,0,0.7,,6.8,
TZ0605,Rufiji,2.9,9,0.7,5.2,4.5,0,7.5,,,5.4,0,,0,0.7,,6.8,
TZ0606,Mafia,2.9,0,1.6,2.6,4.5,0,7.5,,,5.4,0,,0,0.7,,6.8,
TZ0607,Kibaha Urban,2.9,1.2,0,0,4.5,0,0,,,5.45,0,,0,0.7,,6.8,
TZ0701,Kinondoni,10,8,0,0,0.2,0,7.5,,,6.3,0,,0,0.7,,8.1,
TZ0702,Ilala,10,8,0,0,0.2,0,7.5,,,6.5,0,,0,0.7,,8.1,
TZ0703,Temeke,10,8,0.4,2.4,0.2,0,7.5,,,6.6,0,,0,0.7,,8.1,
TZ0801,Kilwa,0,7.5,0.4,4.4,7.9,0,7,,,4.35,0,,0,0.7,,5.2,
TZ0802,Lindi,0,7.1,0.1,0.7,7.9,0,7,,,5,0,,0,0.7,,5.2,
TZ0803,Nachingwea,0,4.6,0,0,7.9,0,0,,,3.95,0,,0,0.7,,5.2,
TZ0804,Liwale,0,7,0,0,7.9,0,0,,,3.55,0,,0,0.7,,5.2,
TZ0805,Ruangwa,0,4.5,0,0,7.9,0,0,,,4.1,0,,0,0.7,,5.2,
TZ0806,Lindi Urban,0,6.8,0,0,7.9,0,7,,,4.95,0,,0,0.7,,5.2,
TZ0901,Mtwara,0,8.2,5.7,1.8,5.5,10,7,,,5.6,0,,0,0.7,,9.1,
TZ0902,Newala,0,3.8,0,0,5.5,0,0,,,5.1,0,,0,0.7,,9.1,
TZ0903,Masasi,0,3.6,0,0,5.5,0,0,,,4.25,0,,0,0.7,,9.1,
TZ0904,Tandahimba,0,4.9,0,0,5.5,0,0,,,5.15,0,,0,0.7,,9.1,
TZ0905,Mtwara Urban,0,5.4,10,4.2,5.5,0,7,,,5.1,0,,0,0.7,,9.1,
TZ0906,Nanyumbu,0,4.6,0,0,5.5,0,0,,,4,0,,0,0.7,,9.1,
TZ0907,Masasi  Township Authority,0,0,0,0,5.5,0,0,,,4.15,0,,0,0.7,,9.1,
TZ1001,Tunduru,0,4.2,0,0,7.5,0,0,,,4.1,0,,0,0.7,,5.3,
TZ1002,Songea,0,3.8,0,5.9,7.5,0,0,,,4.45,0,,0,0.7,,5.3,
TZ1003,Mbinga,0,1.2,9.4,7.8,7.5,0,0,,,4.25,0,,0,0.7,,5.3,
TZ1004,Songea Urban,0,0,0,3.6,7.5,0,0,,,3.7,0,,0,0.7,,5.3,
TZ1005,Namtumbo,0,1.9,0,2.9,7.5,0,0,,,3.7,0,,0,0.7,,5.3,
TZ1006,Nyasa,0,4,9.9,6.6,7.5,0,0,,,4.55,0,,0,0.7,,5.3,
TZ1101,Iringa,0,6.7,2.4,5.1,6,0,0,,,4.2,0,,0,0.7,,2.2,
