code,council,hotdays
C001,Kondoa District,0
C002,Kondoa Town,0.0
C003,Mpwapwa District,0.944
C004,Kongwa District,0.087
C005,Chamwino District,4.019
C006,Dodoma City,0.254
C007,Bahi District,2.03
C008,Chemba District,0.699
C009,Monduli District,2.096
C010,Meru District,0.035
C011,Arusha District,0.074
C012,Longido District,1.997
C013,Karatu District,0.003
C014,Ngorongoro District,0.759
C015,Arusha City,0.036
C016,Rombo District,0.02
C017,Mwanga District,2.412
C018,Same District,3.716
C019,Moshi Municipal,0
C020,Moshi District,2.098
C021,Hai District,0.011
C022,Siha District,0
C023,Lushoto District,2.282
C024,Bumbuli District,0.001
C025,Korogwe District,2.485
C026,Korogwe Town,2.954
C027,Muheza District,6.034
C028,Tanga City,3.437
C029,Pangani District,2.529
C030,Handeni District,1.84
C031,Handeni Town,0.123
C032,Kilindi District,0.15
C033,Mkinga District,4.845
C034,Kilosa District,2.281
C035,Morogoro District,17.693
C036,Morogoro Municipal,0.423
C037,Mlimba District,6.896
C038,Ifakara Town,18.424
C039,Ulanga District,12.816
C040,Malinyi District,6.027
C041,Mvomero District,3.117
C042,Gairo District,0
C043,Bagamoyo District,0.344
C044,Chalinze District,2.094
C045,Kibaha District,8.987
C046,Kibaha Town,0.585
C047,Kisarawe District,10.257
C048,Mkuranga District,0.942
C049,Rufiji District,19.278
C050,Mafia District,0
C051,Kibiti District,1.329
C052,Kinondoni Municipal,0
C053,Dar Es Salaam City,0.13
C054,Temeke Municipal,0.015
C055,Kigamboni Municipal,0
C056,Ubungo Municipal,0.018
C057,Kilwa District,1.955
C058,Mtama District,0.114
C059,Lindi Municipal,0.039
C060,Nachingwea District,11.268
C061,Liwale District,7.631
C062,Ruangwa District,1.542
C063,Mtwara District,0.022
C064,Nanyamba Town,0.165
C065,Mtwara Mikindani Municipal,0
C066,Newala District,0.016
C067,Newala Town,1.589
C068,Masasi District,16.763
C069,Masasi Town,13.411
C070,Tandahimba District,0.419
C071,Nanyumbu District,33.051
C072,Tunduru District,10.798
C073,Songea District,3.417
C074,Songea Municipal,0.013
C075,Madaba District,1.126
C076,Mbinga District,1.722
C077,Mbinga Town,0.139
C078,Nyasa District,1.158
C079,Namtumbo District,4.789
C080,Iringa District,5.087
C081,Iringa Municipal,0
C082,Mafinga Town,0
C083,Mufindi District,0.006
C084,Kilolo District,0.179
C085,Chunya District,0.358
C086,Mbeya District,0.368
C087,Mbeya City,0
C088,Kyela District,0.101
C089,Rungwe District,0.047
C090,Busokelo District,0.027
C091,Mbarali District,1.929
C092,Iramba District,2.544
C093,Singida District,0
C094,Singida Municipal,0
C095,Manyoni District,0.477
C096,Itigi District,0.025
C097,Ikungi District,0.918
C098,Mkalama District,0.265
C099,Nzega Town,0.197
C100,Nzega District,0.184
C101,Igunga District,3.528
C102,Uyui District,0.603
C103,Urambo District,0.776
C104,Sikonge District,0.936
C105,Tabora Municipal,0.202
C106,Kaliua District,0.81
C107,Kalambo District,0.001
C108,Sumbawanga District,0.179
C109,Sumbawanga Municipal,0
C110,Nkasi District,0.032
C111,Kibondo District,0.323
C112,Kasulu District,0.076
C113,Kasulu Town,0.007
C114,Kigoma District,0.095
C115,Kigoma Ujiji City,0
C116,Uvinza District,0.082
C117,Buhigwe District,0.016
C118,Kakonko District,0
C119,Ushetu District,0.012
C120,Kahama Municipal,0.018
C121,Msalala District,0.05
C122,Kishapu District,3.937
C123,Shinyanga District,0.46
C124,Shinyanga Municipal,0.776
C125,Karagwe District,0
C126,Bukoba District,0
C127,Bukoba Municipal,0
C128,Muleba District,0
C129,Biharamulo District,0
C130,Ngara District,0
C131,Kyerwa District,0
C132,Missenyi District,0
C133,Ukerewe District,0
C134,Magu District,0.01
C135,Mwanza City,0
C136,Kwimba District,0.102
C137,Sengerema District,0
C138,Buchosa District,0
C139,Ilemela Municipal,0
C140,Misungwi District,0
C141,Tarime District,0.479
C142,Tarime Town,0.073
C143,Serengeti District,0.437
C144,Musoma District,0
C145,Musoma Municipal,0
C146,Bunda District,0.67
C147,Bunda Town,0.141
C148,Butiama District,0.295
C149,Rorya District,0.081
C150,Babati District,0.107
C151,Babati Town,0
C152,Hanang District,0
C153,Mbulu District,0
C154,Mbulu Town,0
C155,Simanjiro District,0.89
C156,Kiteto District,0
C157,Njombe District,0.001
C158,Njombe Town,0
C159,Makambako Town,0
C160,Ludewa District,0.287
C161,Makete District,0.001
C162,Wanging'Ombe District,0.012
C163,Mpanda Municipal,1.603
C164,Nsimbo District,3.304
C165,Tanganyika District,0.429
C166,Mlele District,0.938
C167,Mpimbwe District,0.762
C168,Bariadi District,0.149
C169,Bariadi Town,0.063
C170,Itilima District,0.018
C171,Meatu District,0.976
C172,Maswa District,0.261
C173,Busega District,0.021
C174,Geita District,0
C175,Geita Town,0
C176,Nyang'Hwale District,0
C177,Halmashuari Ya Wilaya Ya Mbogwe District,0
C178,Bukombe District,0.152
C179,Chato District,0
C180,Momba District,1.275
C181,Tunduma Town,0.072
C182,Songwe District,1.729
C183,Mbozi District,0.236
C184,Ileje District,0.008
C185,Kaskazini A Town,0
C186,Kaskazini B Town,0
C187,Kati Town,0.027
C188,Kusini District,0.028
C189,Mjini Municipal,0
C190,Magharibi A Municipal,0
C191,Magharibi B Municipal,0
C192,Wete Town,0
C193,Micheweni District,0
C194,Chake Chake Town,0
C195,Mkoani Town,0
