id,name,dimension,component,keyed_at,resolution,year,unit,data_type,valid_range,denominator,outlier,transform,normalisation,custom_min,custom_max,sign,use
HA.NAT.CH-ERO,Coastal Erosion,Hazards & Exposure,Coastal hazards,Adm2,,,meters / year,Float,-0.3-0,None,No,None,Custom,-0.3,0.0,Decrease Risk,Yes
HA.NAT.CH-SEA,Sea Level Rise,Hazards & Exposure,Coastal hazards,National,,,,,,,,,,,,,
HA.NAT.DR-FRE,Historic Drought Frequency,Hazards & Exposure,Drought,Adm1,,,years,Float,5-35,None,No,None,Data range,5.0,35.0,Increase Risk,Yes
HA.NAT.EQ-EXP,Earthquake exposure,Hazards & Exposure,Earthquake,Adm2,,,index,Float,0-1,None,No,None,Data range,0.0,1.0,Increase Risk,Yes
HA.NAT.ED-DEF,Deforestation - Treecover Loss,Hazards & Exposure,Environmental Degradation,Adm2,,,%,Float,0-100,None,No,Logarithm,Data range,-6.9,-0.5,Increase Risk,Yes
HA.NAT.DE-ERO,Soil Erosion,Hazards & Exposure,Environmental Degradation,National,,,Mg/ha/yr,,,None,No,None,Data range,0.0,43.5,Increase Risk,Yes
HA.NAT.FL-EXP,Flood exposure,Hazards & Exposure,Flood,Adm2,,,%,Float,0-100,None,No,Logarithm,Data range,-6.9,-0.1,Increase Risk,Yes
HA.NAT.HW-EXP,Heatwave exposure,Hazards & Exposure,Heatwave,National,,,,,,,,,,,,,
HA.NAT.LS-EXP,Landslide exposure,Hazards & Exposure,Landslide,Adm2,,,%,Float,0-100,None,No,Logarithm,Data range,-6.9,0.0,Increase Risk,Yes
HA.NAT.LI-CAS,Lightning casualities,Hazards & Exposure,Lightning,National,,,,,,,,,,,,,
HA.NAT.ST-TC2,Cyclone exposure - max speed,Hazards & Exposure,Storms & Cyclone,Adm2,,,%,Float,0-100,None,No,None,Data range,0.0,41.1,Increase Risk,Yes
HA.NAT.ST-TC,Cyclone exposure,Hazards & Exposure,Storms & Cyclone,Adm1,,,%,Float,0-100,None,No,None,Custom,0.0,100.9,Increase Risk,No
HA.NAT.ST-ST,Storm exposure,Hazards & Exposure,Storms & Cyclone,Adm1,,,%,Float,0-100,None,No,None,Data range,0.0,197.8,Increase Risk,No
HA.NAT.VC-EXP,Volcano exposure,Hazards & Exposure,Volcano,Adm1,,,index,Integer,0-4,None,No,None,Data range,0.0,4.0,Increase Risk,Yes
HA.NAT.WF-BURN,Burned Area,Hazards & Exposure,Wildfire,Adm1,,,%,Float,0-100,None,No,None,Data range,0.0,77.5,Increase Risk,Yes
HA.NAT.WF-FWI,Fire Weather Index,Hazards & Exposure,Wildfire,Adm1,,,index,Float,0-200,None,No,None,Data range,0.0,188.0,Increase Risk,Yes
HA.NAT.ZPP-AD,Animal Diseases,Hazards & Exposure,"Zoonoses, Plants & Pests",National,,,,,,,,,,,,,
HA.NAT.ZPP-PD,Plant Diseases,Hazards & Exposure,"Zoonoses, Plants & Pests",National,,,,,,,,,,,,,
HA.NAT.ZPP-PE,Pests,Hazards & Exposure,"Zoonoses, Plants & Pests",National,,,,,,,,,,,,,
HA.HUM.CR-GCRI,GCRI derived Conflict probability,Hazards & Exposure,Conflict Risk,National,,,%,Float,0-100,None,No,None,Custom,0.0,99.1,Increase Risk,Yes
HA.HUM.CI-CBAR,Conflict Barometer,Hazards & Exposure,Conflict Intensity,Adm1,,,Index,Integer,0-5,None,No,None,Custom,0.0,5.0,Increase Risk,Yes
HA.HUM.HMAT,Hazardous Material,Hazards & Exposure,Hazardous Material,global-extract,,,,,,,,,,,,,
HA.HUM.VIO-EVE,Number of Events,Hazards & Exposure,Internal Violence,Adm1,,,Number,Integer,0-∞,None,No,Logarithm,Data range,0.0,8.9,Increase Risk,Yes
HA.HUM.VIO-FAT,Number of Fatalities,Hazards & Exposure,Internal Violence,Adm1,,,Number,Integer,0-∞,None,No,Logarithm,Data range,-6.9,9.3,Increase Risk,Yes
