adm1_code,adm1_name,adm2_code,adm2_name,dimension,category,indicator_key,indicator,value,authority,dataset,method
TZ01,Dodoma,TZ0101,Kondoa,Hazard & Exposure,Exposure,hazard:exposure,Population Exposure,3.19,NBS,2022 PHC population,"population density, log min-max"
TZ01,Dodoma,TZ0101,Kondoa,Hazard & Exposure,Natural hazards,hazard:coastalHazards,Coastal Hazards,0,TMA / PMO-DMD,coastal strip,documented overlay
TZ01,Dodoma,TZ0101,Kondoa,Hazard & Exposure,Natural hazards,hazard:drought,Drought,8.6,TMA / MoA,CHIRPS v3 1991-2024 + ERA5 t2m,"aridity+variability+SPEI+growing-season, min-max"
TZ01,Dodoma,TZ0101,Kondoa,Hazard & Exposure,Natural hazards,hazard:earthquake,Earthquake,10,INFORM SADC,INFORM seismic,baseline
TZ01,Dodoma,TZ0101,Kondoa,Hazard & Exposure,Natural hazards,hazard:environmentalDegradation,Environmental Degradation,4.35,INFORM SADC 2024,INFORM Sub-national SADC 2024,baseline
TZ01,Dodoma,TZ0101,Kondoa,Hazard & Exposure,Natural hazards,hazard:flood,Flood,3.8,PMO-DMD / TMA / MoW,CHIRPS v3 daily + recorded floods,"max(hazard, sqrt(hazard×exposure))"
TZ01,Dodoma,TZ0101,Kondoa,Hazard & Exposure,Natural hazards,hazard:landslide,Landslide,4.7,TMA / PMO-DMD,documented rainfall-triggered events,documented overlay
TZ01,Dodoma,TZ0101,Kondoa,Hazard & Exposure,Natural hazards,hazard:stormsCyclone,Storms Cyclone,0,TMA / PMO-DMD,Cyclone Hidaya 2024 + Lindi 1952 + Zanzibar 1872,documented cyclone/storm exposure overlay
TZ01,Dodoma,TZ0101,Kondoa,Hazard & Exposure,Natural hazards,hazard:volcano,Volcano,0,INFORM SADC 2024,INFORM Sub-national SADC 2024,baseline
TZ01,Dodoma,TZ0101,Kondoa,Hazard & Exposure,Natural hazards,hazard:wildfire,Wildfire,4.75,INFORM SADC 2024,INFORM Sub-national SADC 2024,baseline
TZ01,Dodoma,TZ0101,Kondoa,Hazard & Exposure,Human hazards,hazard:conflictIntensity,Conflict Intensity,0,INFORM SADC 2024,INFORM Sub-national SADC 2024,baseline
TZ01,Dodoma,TZ0101,Kondoa,Hazard & Exposure,Human hazards,hazard:conflictRisk,Conflict Risk,0.7,INFORM SADC 2024,INFORM Sub-national SADC 2024,baseline
TZ01,Dodoma,TZ0101,Kondoa,Hazard & Exposure,Human hazards,hazard:internalViolence,Internal Violence,1.35,INFORM SADC 2024,INFORM Sub-national SADC 2024,baseline
TZ01,Dodoma,TZ0101,Kondoa,Vulnerability,Socio-economic,vulnerability:developmentPoverty,Development Poverty,7.7,NBS,Household Budget Survey 2017/18,poverty headcount
TZ01,Dodoma,TZ0101,Kondoa,Vulnerability,Socio-economic,vulnerability:economicDependency,Economic Dependency,3.966666667,INFORM SADC 2024,INFORM Sub-national SADC 2024,baseline
TZ01,Dodoma,TZ0101,Kondoa,Vulnerability,Socio-economic,vulnerability:habitat,Habitat,4.9,INFORM SADC 2024,INFORM Sub-national SADC 2024,baseline
