adm2_code,adm1_name,adm2_name,population,density,coping:accessHealth,coping:communication,coping:drrImplementation,coping:economicCapacity,coping:education,coping:governance,coping:wash,hazard:coastalHazards,hazard:conflictIntensity,hazard:conflictRisk,hazard:drought,hazard:earthquake,hazard:environmentalDegradation,hazard:exposure,hazard:flood,hazard:hazardousMaterial,hazard:heatwave,hazard:internalViolence,hazard:landslide,hazard:lightning,hazard:stormsCyclone,hazard:vehicleAccidents,hazard:volcano,hazard:wildfire,hazard:zoonoses,vulnerability:childrenHealthNutrition,vulnerability:developmentPoverty,vulnerability:displacedPeople,vulnerability:economicDependency,vulnerability:habitat,vulnerability:healthConditions,vulnerability:livelihoods,hazard_total,vulnerability_total,coping_total,risk
TZ0101,Dodoma,Kondoa,325297,54,3.96,4.45,3,9.866666667,6.3,3.5,4.7,0,0,0.7,8.6,10,4.35,3.19,3.8,,3.3,1.35,4.7,3,0,3,0,4.75,4,7.5,7.7,0,3.966666667,4.9,4.5,10,2.7,5.4,4.6,4.1
TZ0102,Dodoma,Mpwapwa,403247,54,3.96,4.45,3,9.866666667,6.3,3.5,3.4,0,0,0.7,7,8.7,4.35,3.21,4.3,,3.8,1.35,7.1,3,0,3,0,4.75,4,7.5,7.7,0,3.966666667,4.9,4.5,10,2.7,5.4,4.4,4
TZ0103,Dodoma,Kongwa,443867,113,3.96,4.45,3,9.866666667,6.3,3.5,4.6,0,0,0.7,7.3,8,4.2,4.1,2.8,,3.8,1.35,4.8,3,0,3,0,4.75,4,7.5,7.7,0,3.966666667,4.9,4.5,10,2.5,5.4,4.6,4
TZ0104,Dodoma,Chamwino,486176,53,3.96,4.45,3,9.866666667,6.3,3.5,2.6,0,0,0.7,8,9.9,4.9,3.18,4.8,,4.6,1.35,4.1,3,0,3,0,4.75,4,7.5,7.7,0,3.966666667,4.9,4.5,10,2.8,5.4,4.4,4.1
TZ0105,Dodoma,Dodoma Urban,,,3.96,4.45,3,9.866666667,6.3,3.5,7,0,0,0.7,7,10,3.95,,3.1,,,1.35,1.2,,0,,0,4.75,,7.5,7.7,0,3.966666667,4.9,4.5,10,2,5.4,4.8,3.7
TZ0106,Dodoma,Bahi,322526,60,3.96,4.45,3,9.866666667,6.3,3.5,5.1,0,0,0.7,7.9,10,3.85,3.32,7.4,,5.1,1.35,0.6,3,0,3,0,4.75,4,7.5,7.7,0,3.966666667,4.9,4.5,10,2.7,5.4,4.6,4.1
TZ0107,Dodoma,Chemba,339333,46,3.96,4.45,3,9.866666667,6.3,3.5,4.1,0,0,0.7,8.6,10,5,2.99,5.7,,4,1.35,4,3,0,3,0,4.75,4,7.5,7.7,0,3.966666667,4.9,4.5,10,2.8,5.4,4.5,4.1
TZ0201,Arusha,Monduli,227585,33,5.54,6.55,3,8.466666667,5.3,3.5,7.1,0,0,0.7,9.2,10,3.6,2.59,3.4,,3.8,6.85,4.7,5,0,4,10,4,7,4.075,4.675,0,3.333333333,5.1,1,4.2,4.1,3.1,4.9,4
TZ0202,Arusha,Meru,,,5.54,6.55,3,8.466666667,5.3,3.5,7,0,0,0.7,8.6,10,5,,3.8,,,6.85,6.5,,0,,10,4,,4.075,4.675,0,3.333333333,5.1,1,4.2,4.1,3.1,4.9,4
TZ0203,Arusha,Arusha Urban,,,5.54,6.55,3,8.466666667,5.3,3.5,7,0,0,0.7,8.6,10,2.8,,0,,,6.85,4.5,,0,,10,4,,4.075,4.675,0,3.333333333,5.1,1,4.2,3.5,3.1,4.9,3.8
