code,council,slope
C001,Kondoa District,2.96
C002,Kondoa Town,4.682
C003,Mpwapwa District,7.719
C004,Kongwa District,2.754
C005,Chamwino District,2.879
C006,Dodoma City,2.462
C007,Bahi District,1.255
C008,Chemba District,2.638
C009,Monduli District,3.51
C010,Meru District,4.611
C011,Arusha District,5.17
C012,Longido District,4.132
C013,Karatu District,4.614
C014,Ngorongoro District,5.236
C015,Arusha City,2.333
C016,Rombo District,8.841
C017,Mwanga District,5.476
C018,Same District,5.099
C019,Moshi Municipal,1.934
C020,Moshi District,4.311
C021,Hai District,5.618
C022,Siha District,5.649
C023,Lushoto District,6.247
C024,Bumbuli District,15.889
C025,Korogwe District,5.406
C026,Korogwe Town,3.609
C027,Muheza District,6.084
C028,Tanga City,1.833
C029,Pangani District,1.919
C030,Handeni District,3.025
C031,Handeni Town,3.023
C032,Kilindi District,4.451
C033,Mkinga District,2.844
C034,Kilosa District,6.849
C035,Morogoro District,4.132
C036,Morogoro Municipal,6.325
C037,Mlimba District,5.607
C038,Ifakara Town,2.808
C039,Ulanga District,3.933
C040,Malinyi District,6.554
C041,Mvomero District,5.347
C042,Gairo District,7.887
C043,Bagamoyo District,1.02
C044,Chalinze District,2.514
C045,Kibaha District,1.16
C046,Kibaha Town,1.831
C047,Kisarawe District,2.062
C048,Mkuranga District,1.828
C049,Rufiji District,1.473
C050,Mafia District,0.916
C051,Kibiti District,1.667
C052,Kinondoni Municipal,1.817
C053,Dar Es Salaam City,1.709
C054,Temeke Municipal,2.233
C055,Kigamboni Municipal,0.946
C056,Ubungo Municipal,2.662
C057,Kilwa District,2.294
C058,Mtama District,3.716
C059,Lindi Municipal,3.578
C060,Nachingwea District,1.625
C061,Liwale District,2.095
C062,Ruangwa District,3.035
C063,Mtwara District,2.318
C064,Nanyamba Town,1.946
C065,Mtwara Mikindani Municipal,3.205
C066,Newala District,2.318
C067,Newala Town,2.797
C068,Masasi District,2.214
C069,Masasi Town,2.037
C070,Tandahimba District,2.038
C071,Nanyumbu District,2.145
C072,Tunduru District,2.391
C073,Songea District,3.975
C074,Songea Municipal,4.141
C075,Madaba District,6.549
C076,Mbinga District,7.609
C077,Mbinga Town,7.726
C078,Nyasa District,8.303
C079,Namtumbo District,3.426
C080,Iringa District,3.11
C081,Iringa Municipal,6.974
C082,Mafinga Town,3.339
C083,Mufindi District,6.417
C084,Kilolo District,10.777
C085,Chunya District,3.014
C086,Mbeya District,8.174
C087,Mbeya City,7.505
C088,Kyela District,3.595
C089,Rungwe District,8.285
