code,council,ndvi
C001,Kondoa District,0.4187
C002,Kondoa Town,0.4836
C003,Mpwapwa District,0.4386
C004,Kongwa District,0.3784
C005,Chamwino District,0.3928
C006,Dodoma City,0.3625
C007,Bahi District,0.3755
C008,Chemba District,0.4565
C009,Monduli District,0.3555
C010,Meru District,0.4919
C011,Arusha District,0.4229
C012,Longido District,0.3487
C013,Karatu District,0.422
C014,Ngorongoro District,0.4258
C015,Arusha City,0.4097
C016,Rombo District,0.5201
C017,Mwanga District,0.4394
C018,Same District,0.424
C019,Moshi Municipal,0.4925
C020,Moshi District,0.5301
C021,Hai District,0.4542
C022,Siha District,0.5211
C023,Lushoto District,0.5051
C024,Bumbuli District,0.6439
C025,Korogwe District,0.5414
C026,Korogwe Town,0.5801
C027,Muheza District,0.6645
C028,Tanga City,0.5917
C029,Pangani District,0.5938
C030,Handeni District,0.5866
C031,Handeni Town,0.526
C032,Kilindi District,0.5503
C033,Mkinga District,0.6056
C034,Kilosa District,0.5835
C035,Morogoro District,0.588
C036,Morogoro Municipal,0.4914
C037,Mlimba District,0.6021
C038,Ifakara Town,0.5642
C039,Ulanga District,0.5779
C040,Malinyi District,0.6214
C041,Mvomero District,0.5488
C042,Gairo District,0.5161
C043,Bagamoyo District,0.5423
C044,Chalinze District,0.5795
C045,Kibaha District,0.5748
C046,Kibaha Town,0.5665
C047,Kisarawe District,0.5967
C048,Mkuranga District,0.6089
C049,Rufiji District,0.5726
C050,Mafia District,0.5918
C051,Kibiti District,0.6118
C052,Kinondoni Municipal,0.4324
C053,Dar Es Salaam City,0.4782
C054,Temeke Municipal,0.411
C055,Kigamboni Municipal,0.5014
C056,Ubungo Municipal,0.4998
C057,Kilwa District,0.5839
C058,Mtama District,0.653
C059,Lindi Municipal,0.6346
C060,Nachingwea District,0.5679
C061,Liwale District,0.5815
C062,Ruangwa District,0.6038
C063,Mtwara District,0.6381
C064,Nanyamba Town,0.6413
C065,Mtwara Mikindani Municipal,0.6107
C066,Newala District,0.6271
C067,Newala Town,0.5706
C068,Masasi District,0.5506
C069,Masasi Town,0.4994
C070,Tandahimba District,0.6213
C071,Nanyumbu District,0.5292
C072,Tunduru District,0.5718
C073,Songea District,0.5802
C074,Songea Municipal,0.5042
C075,Madaba District,0.6234
C076,Mbinga District,0.5396
C077,Mbinga Town,0.5508
C078,Nyasa District,0.5855
C079,Namtumbo District,0.5958
C080,Iringa District,0.4702
C081,Iringa Municipal,0.4552
C082,Mafinga Town,0.5557
C083,Mufindi District,0.5703
C084,Kilolo District,0.59
C085,Chunya District,0.5663
C086,Mbeya District,0.5565
C087,Mbeya City,0.5282
C088,Kyela District,0.6151
C089,Rungwe District,0.6505
C090,Busokelo District,0.6468
C091,Mbarali District,0.4832
C092,Iramba District,0.393
C093,Singida District,0.4168
C094,Singida Municipal,0.3658
C095,Manyoni District,0.4483
C096,Itigi District,0.501
C097,Ikungi District,0.4572
C098,Mkalama District,0.3978
C099,Nzega Town,0.4202
C100,Nzega District,0.455
C101,Igunga District,0.3961
C102,Uyui District,0.4803
C103,Urambo District,0.555
C104,Sikonge District,0.5279
C105,Tabora Municipal,0.4927
C106,Kaliua District,0.5587
C107,Kalambo District,0.5327
C108,Sumbawanga District,0.4883
C109,Sumbawanga Municipal,0.4929
C110,Nkasi District,0.5694
C111,Kibondo District,0.6074
C112,Kasulu District,0.5879
C113,Kasulu Town,0.5498
C114,Kigoma District,0.5829
C115,Kigoma Ujiji City,0.5197
C116,Uvinza District,0.6094
C117,Buhigwe District,0.548
C118,Kakonko District,0.5912
C119,Ushetu District,0.519
C120,Kahama Municipal,0.4337
C121,Msalala District,0.444
C122,Kishapu District,0.3652
C123,Shinyanga District,0.4098
C124,Shinyanga Municipal,0.3914
C125,Karagwe District,0.5448
C126,Bukoba District,0.5951
C127,Bukoba Municipal,0.5856
C128,Muleba District,0.5645
C129,Biharamulo District,0.5787
C130,Ngara District,0.5819
C131,Kyerwa District,0.6348
C132,Missenyi District,0.6071
C133,Ukerewe District,0.5111
C134,Magu District,0.4542
C135,Mwanza City,0.4888
C136,Kwimba District,0.4369
C137,Sengerema District,0.4889
C138,Buchosa District,0.5839
C139,Ilemela Municipal,0.4613
C140,Misungwi District,0.4506
C141,Tarime District,0.5988
C142,Tarime Town,0.6296
C143,Serengeti District,0.5156
C144,Musoma District,0.4717
C145,Musoma Municipal,0.4281
C146,Bunda District,0.4902
C147,Bunda Town,0.4792
C148,Butiama District,0.5693
C149,Rorya District,0.5454
C150,Babati District,0.4589
C151,Babati Town,0.4981
C152,Hanang District,0.4432
C153,Mbulu District,0.444
C154,Mbulu Town,0.5506
C155,Simanjiro District,0.4025
C156,Kiteto District,0.4683
C157,Njombe District,0.5739
C158,Njombe Town,0.5741
C159,Makambako Town,0.502
C160,Ludewa District,0.6009
C161,Makete District,0.5857
C162,Wanging'Ombe District,0.4967
C163,Mpanda Municipal,0.5202
C164,Nsimbo District,0.5741
C165,Tanganyika District,0.6176
C166,Mlele District,0.5815
C167,Mpimbwe District,0.5717
C168,Bariadi District,0.4632
C169,Bariadi Town,0.444
C170,Itilima District,0.4539
C171,Meatu District,0.396
C172,Maswa District,0.4033
C173,Busega District,0.4277
C174,Geita District,0.5473
C175,Geita Town,0.5348
C176,Nyang'Hwale District,0.4701
C177,Halmashuari Ya Wilaya Ya Mbogwe District,0.4888
C178,Bukombe District,0.5975
C179,Chato District,0.5393
C180,Momba District,0.5036
C181,Tunduma Town,0.5013
C182,Songwe District,0.5687
C183,Mbozi District,0.5328
C184,Ileje District,0.5742
C185,Kaskazini A Town,0.5707
C186,Kaskazini B Town,0.5932
C187,Kati Town,0.6478
C188,Kusini District,0.627
C189,Mjini Municipal,0.2866
C190,Magharibi A Municipal,0.5584
C191,Magharibi B Municipal,0.5747
C192,Wete Town,0.5583
C193,Micheweni District,0.5483
C194,Chake Chake Town,0.5639
C195,Mkoani Town,0.5811
