region,council,pop2022,source
Arusha,Arusha City,617631,NBS 2022 PHC (via citypopulation.de)
Arusha,Arusha Rural,449518,NBS 2022 PHC
Arusha,Karatu,280454,NBS 2022 PHC
Arusha,Longido,175915,NBS 2022 PHC
Arusha,Meru,331603,NBS 2022 PHC
Arusha,Monduli,227585,NBS 2022 PHC
Arusha,Ngorongoro,273549,NBS 2022 PHC
Dar es Salaam,Ilala,1649912,NBS 2022 PHC
Dar es Salaam,Kigamboni,317902,NBS 2022 PHC
Dar es Salaam,Kinondoni,982328,NBS 2022 PHC
Dar es Salaam,Temeke,1346674,NBS 2022 PHC
Dar es Salaam,Ubungo,1086912,NBS 2022 PHC
Dodoma,Bahi,322526,NBS 2022 PHC
Dodoma,Chamwino,486176,NBS 2022 PHC
Dodoma,Chemba,339333,NBS 2022 PHC
Dodoma,Dodoma City,765179,NBS 2022 PHC
Dodoma,Kondoa Rural,244854,NBS 2022 PHC
Dodoma,Kondoa Town,80443,NBS 2022 PHC
Dodoma,Kongwa,443867,NBS 2022 PHC
Dodoma,Mpwapwa,403247,NBS 2022 PHC
Geita,Bukombe,407102,NBS 2022 PHC
Geita,Chato,584963,NBS 2022 PHC
Geita,Geita Rural,1035214,NBS 2022 PHC
Geita,Geita Town,361671,NBS 2022 PHC
Geita,Mbogwe,362855,NBS 2022 PHC
Geita,Nyang'hwale,225803,NBS 2022 PHC
Iringa,Iringa Municipal,202490,NBS 2022 PHC
Iringa,Iringa Rural,315354,NBS 2022 PHC
Iringa,Kilolo,263559,NBS 2022 PHC
Iringa,Mafinga Town,122329,NBS 2022 PHC
Iringa,Mufindi,288996,NBS 2022 PHC
Kagera,Biharamulo,457114,NBS 2022 PHC
Kagera,Bukoba Municipal,144938,NBS 2022 PHC
Kagera,Bukoba Rural,322448,NBS 2022 PHC
Kagera,Karagwe,385744,NBS 2022 PHC
Kagera,Kyerwa,412910,NBS 2022 PHC
Kagera,Missenyi,245394,NBS 2022 PHC
Kagera,Muleba,637659,NBS 2022 PHC
Kagera,Ngara,383092,NBS 2022 PHC
Kaskazini Pemba,Micheweni,123379,NBS 2022 PHC
Kaskazini Pemba,Wete,148712,NBS 2022 PHC
Kaskazini Unguja,Kaskazini A Town,157369,NBS 2022 PHC
Kaskazini Unguja,Kaskazini B,99921,NBS 2022 PHC
Katavi,Mlele,118818,NBS 2022 PHC
Katavi,Mpanda Municipal,245764,NBS 2022 PHC
Katavi,Mpimbwe,215438,NBS 2022 PHC
Katavi,Nsimbo,201102,NBS 2022 PHC
Katavi,Tanganyika,371836,NBS 2022 PHC
Kigoma,Buhigwe,240005,NBS 2022 PHC
Kigoma,Kakonko,178419,NBS 2022 PHC
Kigoma,Kasulu Rural,537767,NBS 2022 PHC
Kigoma,Kasulu Town,238321,NBS 2022 PHC
Kigoma,Kibondo,362922,NBS 2022 PHC
Kigoma,Kigoma Municipal,232388,NBS 2022 PHC
Kigoma,Kigoma Rural,222792,NBS 2022 PHC
Kigoma,Uvinza,458353,NBS 2022 PHC
Kilimanjaro,Hai,240999,NBS 2022 PHC
Kilimanjaro,Moshi Municipal,221733,NBS 2022 PHC
Kilimanjaro,Moshi Rural,535803,NBS 2022 PHC
Kilimanjaro,Mwanga,148763,NBS 2022 PHC
Kilimanjaro,Rombo,275314,NBS 2022 PHC
Kilimanjaro,Same,300303,NBS 2022 PHC
Kilimanjaro,Siha,139019,NBS 2022 PHC
Kusini Pemba,Chake Chake,136298,NBS 2022 PHC
Kusini Pemba,Mkoani Town,135052,NBS 2022 PHC
Kusini Unguja,Kati,132717,NBS 2022 PHC
Kusini Unguja,Kusini,63156,NBS 2022 PHC
Lindi,Kilwa,297676,NBS 2022 PHC
Lindi,Lindi Municipal,174126,NBS 2022 PHC
Lindi,Liwale,136505,NBS 2022 PHC
Lindi,Mtama,166493,NBS 2022 PHC
Lindi,Nachingwea,233655,NBS 2022 PHC
Lindi,Ruangwa,185573,NBS 2022 PHC
Manyara,Babati Rural,375200,NBS 2022 PHC
Manyara,Babati Town,129572,NBS 2022 PHC
Manyara,Hanang,367391,NBS 2022 PHC
Manyara,Kiteto,352305,NBS 2022 PHC
Manyara,Mbulu Rural,238272,NBS 2022 PHC
Manyara,Mbulu Town,138593,NBS 2022 PHC
Manyara,Simanjiro,291169,NBS 2022 PHC
Mara,Bunda Rural,243822,NBS 2022 PHC
Mara,Bunda Town,182970,NBS 2022 PHC
Mara,Butiama,281656,NBS 2022 PHC
Mara,Musoma Municipal,164172,NBS 2022 PHC
Mara,Musoma Rural,266665,NBS 2022 PHC
Mara,Rorya,354490,NBS 2022 PHC
Mara,Serengeti,340349,NBS 2022 PHC
Mara,Tarime Rural,404848,NBS 2022 PHC
Mara,Tarime Town,133043,NBS 2022 PHC
Mbeya,Busekelo,100123,NBS 2022 PHC
Mbeya,Chunya,344471,NBS 2022 PHC
Mbeya,Kyela,266426,NBS 2022 PHC
Mbeya,Mbarali,446336,NBS 2022 PHC
Mbeya,Mbeya City,541603,NBS 2022 PHC
Mbeya,Mbeya Rural,371259,NBS 2022 PHC
Mbeya,Rungwe,273536,NBS 2022 PHC
Mjini Magharibi,Magharibi A Municipal,329645,NBS 2022 PHC
Mjini Magharibi,Magharibi B Municipal,344517,NBS 2022 PHC
Mjini Magharibi,Mjini Municipal,219007,NBS 2022 PHC
Morogoro,Gairo,258205,NBS 2022 PHC
Morogoro,Ifakara Town,290424,NBS 2022 PHC
Morogoro,Kilosa,617032,NBS 2022 PHC
Morogoro,Malinyi,225126,NBS 2022 PHC
Morogoro,Mlimba,292536,NBS 2022 PHC
Morogoro,Morogoro Municipal,471409,NBS 2022 PHC
Morogoro,Morogoro Rural,387736,NBS 2022 PHC
Morogoro,Mvomero,421741,NBS 2022 PHC
Morogoro,Ulanga,232895,NBS 2022 PHC
Mtwara,Masasi Rural,314778,NBS 2022 PHC
Mtwara,Masasi Town,137585,NBS 2022 PHC
Mtwara,Mtwara Municipal,146772,NBS 2022 PHC
Mtwara,Mtwara Rural,158504,NBS 2022 PHC
Mtwara,Nanyamba Town,132624,NBS 2022 PHC
Mtwara,Nanyumbu,204323,NBS 2022 PHC
Mtwara,Newala Rural,136939,NBS 2022 PHC
Mtwara,Newala Town,104349,NBS 2022 PHC
Mtwara,Tandahimba,299073,NBS 2022 PHC
Mwanza,Buchosa,413110,NBS 2022 PHC
Mwanza,Ilemela Municipal,509687,NBS 2022 PHC
Mwanza,Kwimba,480025,NBS 2022 PHC
Mwanza,Magu,421119,NBS 2022 PHC
Mwanza,Misungwi,467867,NBS 2022 PHC
Mwanza,Mwanza,594834,NBS 2022 PHC
Mwanza,Sengerema,425415,NBS 2022 PHC
Mwanza,Ukerewe,387815,NBS 2022 PHC
Njombe,Ludewa,151361,NBS 2022 PHC
Njombe,Makambako Town,146481,NBS 2022 PHC
Njombe,Makete,109160,NBS 2022 PHC
Njombe,Njombe Rural,109311,NBS 2022 PHC
Njombe,Njombe Town,182127,NBS 2022 PHC
Njombe,Wanging'ombe,191506,NBS 2022 PHC
