code,council,rx1day
C001,Kondoa District,62.029
C002,Kondoa Town,67.717
C003,Mpwapwa District,65.291
C004,Kongwa District,56.878
C005,Chamwino District,44.394
C006,Dodoma City,44.992
C007,Bahi District,41.305
C008,Chemba District,54.952
C009,Monduli District,65.119
C010,Meru District,110.972
C011,Arusha District,109.259
C012,Longido District,65.058
C013,Karatu District,53.473
C014,Ngorongoro District,59.206
C015,Arusha City,107.043
C016,Rombo District,146.61
C017,Mwanga District,86.608
C018,Same District,76.767
C019,Moshi Municipal,158.292
C020,Moshi District,135.975
C021,Hai District,164.009
C022,Siha District,136.279
C023,Lushoto District,106.859
C024,Bumbuli District,170.157
C025,Korogwe District,125.202
C026,Korogwe Town,198.139
C027,Muheza District,182.556
C028,Tanga City,173.02
C029,Pangani District,148.173
C030,Handeni District,150.576
C031,Handeni Town,130.416
C032,Kilindi District,99.702
C033,Mkinga District,163.317
C034,Kilosa District,89.306
C035,Morogoro District,89.414
C036,Morogoro Municipal,63.911
C037,Mlimba District,127.63
C038,Ifakara Town,108.669
C039,Ulanga District,89.417
C040,Malinyi District,111.287
C041,Mvomero District,88.19
C042,Gairo District,84.51
C043,Bagamoyo District,116.001
C044,Chalinze District,113.934
C045,Kibaha District,108.177
C046,Kibaha Town,129.657
C047,Kisarawe District,117.596
C048,Mkuranga District,155.945
C049,Rufiji District,95.119
C050,Mafia District,71.716
C051,Kibiti District,136.88
C052,Kinondoni Municipal,124.38
C053,Dar Es Salaam City,156.283
C054,Temeke Municipal,146.476
C055,Kigamboni Municipal,152.609
C056,Ubungo Municipal,138.666
C057,Kilwa District,80.674
C058,Mtama District,66.495
C059,Lindi Municipal,71.443
C060,Nachingwea District,52.05
C061,Liwale District,68.125
C062,Ruangwa District,64.288
C063,Mtwara District,75.931
C064,Nanyamba Town,72.298
C065,Mtwara Mikindani Municipal,79.28
C066,Newala District,61.6
C067,Newala Town,63.955
C068,Masasi District,49.596
C069,Masasi Town,43.398
C070,Tandahimba District,62.798
