code,council,ssm
C001,Kondoa District,8.4665
C002,Kondoa Town,9.3226
C003,Mpwapwa District,8.1973
C004,Kongwa District,6.8463
C005,Chamwino District,6.4593
C006,Dodoma City,7.1595
C007,Bahi District,7.4147
C008,Chemba District,8.5338
C009,Monduli District,7.2676
C010,Meru District,8.5679
C011,Arusha District,8.2399
C012,Longido District,9.3689
C013,Karatu District,8.7811
C014,Ngorongoro District,10.8982
C015,Arusha City,7.6563
C016,Rombo District,16.8516
C017,Mwanga District,3.9311
C018,Same District,5.977
C019,Moshi Municipal,7.676
C020,Moshi District,7.3768
C021,Hai District,10.9405
C022,Siha District,14.2227
C023,Lushoto District,7.0345
C024,Bumbuli District,13.6259
C025,Korogwe District,8.8713
C026,Korogwe Town,13.2067
C027,Muheza District,11.7698
C028,Tanga City,13.3468
C029,Pangani District,16.721
C030,Handeni District,10.0001
C031,Handeni Town,10.0353
C032,Kilindi District,9.9539
C033,Mkinga District,8.9407
C034,Kilosa District,11.2267
C035,Morogoro District,9.7966
C036,Morogoro Municipal,12.2226
C037,Mlimba District,12.8188
C038,Ifakara Town,9.7464
C039,Ulanga District,11.6876
C040,Malinyi District,12.8355
C041,Mvomero District,11.8572
C042,Gairo District,12.6224
C043,Bagamoyo District,10.7884
C044,Chalinze District,8.6887
C045,Kibaha District,8.6081
C046,Kibaha Town,10.4859
C047,Kisarawe District,10.2038
C048,Mkuranga District,14.363
C049,Rufiji District,9.2235
C050,Mafia District,25.4
C051,Kibiti District,14.48
C052,Kinondoni Municipal,11.7587
C053,Dar Es Salaam City,12.6176
C054,Temeke Municipal,12.1953
C055,Kigamboni Municipal,22.9807
C056,Ubungo Municipal,10.9359
C057,Kilwa District,11.144
C058,Mtama District,10.9843
C059,Lindi Municipal,11.5004
C060,Nachingwea District,9.2225
C061,Liwale District,10.0316
C062,Ruangwa District,10.2152
C063,Mtwara District,12.1278
C064,Nanyamba Town,10.9018
C065,Mtwara Mikindani Municipal,11.8208
C066,Newala District,10.9616
C067,Newala Town,9.9281
C068,Masasi District,9.1382
C069,Masasi Town,9.0554
C070,Tandahimba District,10.2371
C071,Nanyumbu District,9.4773
C072,Tunduru District,10.4911
C073,Songea District,11.7951
C074,Songea Municipal,11.5589
C075,Madaba District,12.7324
C076,Mbinga District,12.6525
C077,Mbinga Town,13.2133
C078,Nyasa District,14.6665
C079,Namtumbo District,11.2792
C080,Iringa District,8.6576
C081,Iringa Municipal,9.3275
C082,Mafinga Town,12.1583
C083,Mufindi District,13.1946
C084,Kilolo District,11.8754
C085,Chunya District,11.0461
C086,Mbeya District,12.9956
C087,Mbeya City,13.0019
C088,Kyela District,15.3899
C089,Rungwe District,14.7351
C090,Busokelo District,15.4887
C091,Mbarali District,9.9057
C092,Iramba District,10.1938
C093,Singida District,9.5385
C094,Singida Municipal,10.3415
C095,Manyoni District,8.3888
C096,Itigi District,9.4249
C097,Ikungi District,10.2545
C098,Mkalama District,10.0722
C099,Nzega Town,10.9997
C100,Nzega District,10.969
C101,Igunga District,10.735
C102,Uyui District,11.0078
C103,Urambo District,11.126
C104,Sikonge District,10.8798
C105,Tabora Municipal,10.9554
C106,Kaliua District,12.7512
C107,Kalambo District,12.6221
C108,Sumbawanga District,11.4917
C109,Sumbawanga Municipal,13.4693
C110,Nkasi District,15.0733
C111,Kibondo District,14.0029
C112,Kasulu District,15.0641
C113,Kasulu Town,15.6786
C114,Kigoma District,17.6254
C115,Kigoma Ujiji City,24.8003
C116,Uvinza District,14.8516
C117,Buhigwe District,15.8061
C118,Kakonko District,14.4742
C119,Ushetu District,12.2491
