dist_name,reg_name,storms_cyclone,basis
Mafia,Pwani,9,Cyclone Hidaya 2024 landfall (Mafia Island)
Rufiji,Pwani,7,Hidaya 2024 near-track; delta surge/waves exposure
Kibiti,Pwani,7,Hidaya 2024 near-track; delta surge/waves exposure
Mkuranga,Pwani,6,central coast cyclone/storm exposure
Bagamoyo,Pwani,6,central coast cyclone/storm exposure
Kisarawe,Pwani,4,near-coastal storm/wind exposure
Kibaha,Pwani,3,inland storm/wind exposure
Kigamboni,Dar es Salaam,6,Hidaya 2024 threat; coastal surge/waves
Temeke,Dar es Salaam,6,Hidaya 2024 threat; coastal surge/waves
Kinondoni,Dar es Salaam,5,Hidaya 2024 threat; coastal wind/rain
Ilala,Dar es Salaam,5,Hidaya 2024 threat; coastal wind/rain
Ubungo,Dar es Salaam,4,Hidaya 2024 heavy rain (inland Dar)
Lindi,Lindi,9,Lindi cyclone 1952 (severe damage)
Kilwa,Lindi,8,southern-coast cyclone exposure (Lindi 1952 belt)
Ruangwa,Lindi,4,near-coastal southern exposure
Nachingwea,Lindi,3,inland southern exposure
Liwale,Lindi,3,inland southern exposure
Mtwara,Mtwara,9,Lindi cyclone 1952 + Hidaya 2024 record rainfall
Tandahimba,Mtwara,5,southern-coast storm/rain exposure
Newala,Mtwara,4,inland southern exposure
Masasi,Mtwara,4,inland southern exposure
Nanyumbu,Mtwara,3,inland southern exposure
Pangani,Tanga,6,northern-coast cyclone/storm exposure
Tanga,Tanga,5,northern-coast cyclone/storm exposure
Mkinga,Tanga,5,northern-coast cyclone/storm exposure
Muheza,Tanga,3,near-coastal storm/wind exposure
Kati,Kusini Unguja,6,island coastal cyclone/storm exposure
Kusini,Kusini Unguja,7,exposed south Unguja coast
Kaskazini A,Kaskazini Unguja,6,island coastal cyclone/storm exposure
Kaskazini B,Kaskazini Unguja,5,island coastal storm exposure
Mjini,Mjini Magharibi,6,Zanzibar cyclone 1872; urban coastal exposure
Magharibi A,Mjini Magharibi,6,island coastal cyclone/storm exposure
Magharibi B,Mjini Magharibi,6,island coastal cyclone/storm exposure
Wete,Kaskazini Pemba,6,Pemba island coastal exposure
Micheweni,Kaskazini Pemba,6,Pemba island coastal exposure
Chake Chake,Kusini Pemba,6,Pemba island coastal exposure
Mkoani,Kusini Pemba,6,Pemba island coastal exposure
