adm2_code,healthConditions,displacedPeople,livelihoods
TZ0101,4.533333333,0,10
TZ0102,4.533333333,0,10
TZ0103,4.533333333,0,10
TZ0104,4.533333333,0,10
TZ0105,4.533333333,0,10
TZ0106,4.533333333,0,10
TZ0107,4.533333333,0,10
TZ0201,0.8,0,4.2
TZ0202,0.8,0,4.2
TZ0203,0.8,0,4.2
TZ0204,0.8,0,4.2
TZ0205,0.8,0,4.2
TZ0206,0.8,0,4.2
TZ0207,0.8,0,4.2
TZ0301,1.4,0,0
TZ0302,1.4,0,0
TZ0303,1.4,0,0
TZ0304,1.4,0,0
TZ0305,1.4,0,0
TZ0306,1.4,0,0
TZ0307,1.4,0,0
TZ0401,3.133333333,0,5.7
TZ0402,3.133333333,0,5.7
TZ0403,3.133333333,0,5.7
TZ0404,3.133333333,0,5.7
TZ0405,3.133333333,0,5.7
TZ0406,3.133333333,0,5.7
TZ0407,3.133333333,0,5.7
TZ0408,3.133333333,0,5.7
TZ0409,3.133333333,0,5.7
TZ0410,3.133333333,0,5.7
TZ0501,3.633333333,0,0
TZ0502,3.633333333,0,0
TZ0503,3.633333333,0,0
TZ0504,3.633333333,0,0
TZ0505,3.633333333,0,0
TZ0506,3.633333333,0,0
TZ0507,3.633333333,0,0
TZ0601,4.733333333,0,0
TZ0602,4.733333333,0,0
TZ0603,4.733333333,0,0
TZ0604,4.733333333,0,0
TZ0605,4.733333333,0,0
TZ0606,4.733333333,0,0
TZ0607,4.733333333,0,0
TZ0701,4.4,0,0
TZ0702,4.4,0,0
TZ0703,4.4,0,0
TZ0801,4.7,0,0
TZ0802,4.7,0,0
TZ0803,4.7,0,0
TZ0804,4.7,0,0
TZ0805,4.7,0,0
TZ0806,4.7,0,0
TZ0901,5.1,7.3,0
TZ0902,5.1,7.3,0
TZ0903,5.1,7.3,0
TZ0904,5.1,7.3,0
TZ0905,5.1,7.3,0
TZ0906,5.1,7.3,0
TZ0907,5.1,7.3,0
TZ1001,4.2,0,0
TZ1002,4.2,0,0
TZ1003,4.2,0,0
TZ1004,4.2,0,0
TZ1005,4.2,0,0
TZ1006,4.2,0,0
TZ1101,3,0,0
TZ1102,3,0,0
TZ1103,3,0,0
TZ1104,3,0,0
TZ1105,3,0,0
TZ1201,5,0,0
TZ1202,5,0,0
TZ1203,5,0,0
TZ1204,5,0,0
TZ1207,5,0,0
TZ1208,5,0,0
TZ1301,1.666666667,0,3.6
TZ1302,1.666666667,0,3.6
TZ1303,1.666666667,0,3.6
TZ1304,1.666666667,0,3.6
TZ1305,1.666666667,0,3.6
TZ1306,1.666666667,0,3.6
TZ1401,4.766666667,0,3.8
TZ1402,4.766666667,0,3.8
TZ1403,4.766666667,0,3.8
TZ1404,4.766666667,0,3.8
TZ1405,4.766666667,0,3.8
TZ1406,4.766666667,0,3.8
TZ1407,4.766666667,0,3.8
TZ1501,5.833333333,6.9,0
TZ1502,5.833333333,6.9,0
TZ1503,5.833333333,6.9,0
TZ1504,5.833333333,6.9,0
TZ1601,4.766666667,0,0
TZ1602,4.766666667,0,0
TZ1603,4.766666667,0,0
TZ1604,4.766666667,0,0
TZ1605,4.766666667,0,0
TZ1606,4.766666667,0,0
TZ1607,4.766666667,0,0
TZ1608,4.766666667,0,0
TZ1701,5.7,0,5
TZ1702,5.7,0,5
TZ1703,5.7,0,5
TZ1704,5.7,0,5
TZ1705,5.7,0,5
TZ1801,5.1,0,0
TZ1802,5.1,0,0
TZ1803,5.1,0,0
TZ1804,5.1,0,0
TZ1805,5.1,0,0
TZ1806,5.1,0,0
TZ1807,5.1,0,0
TZ1808,5.1,0,0
TZ1901,3.766666667,0,3.2
TZ1902,3.766666667,0,3.2
TZ1903,3.766666667,0,3.2
TZ1904,3.766666667,0,3.2
TZ1905,3.766666667,0,3.2
TZ1906,3.766666667,0,3.2
TZ1907,3.766666667,0,3.2
TZ2001,5.3,0,0
TZ2002,5.3,0,0
TZ2003,5.3,0,0
TZ2004,5.3,0,0
TZ2005,5.3,0,0
TZ2006,5.3,0,0
TZ2007,5.3,0,0
TZ2101,0.9333333333,0,6.8
TZ2102,0.9333333333,0,6.8
TZ2103,0.9333333333,0,6.8
TZ2104,0.9333333333,0,6.8
TZ2105,0.9333333333,0,6.8
TZ2106,0.9333333333,0,6.8
TZ2201,2.733333333,0,0
TZ2202,2.733333333,0,0
TZ2203,2.733333333,0,0
TZ2204,2.733333333,0,0
TZ2205,2.733333333,0,0
TZ2206,2.733333333,0,0
TZ2301,5.433333333,0,0
TZ2302,5.433333333,0,0
TZ2303,5.433333333,0,0
TZ2401,3.9,0,9.5
TZ2402,3.9,0,9.5
TZ2403,3.9,0,9.5
TZ2404,3.9,0,9.5
TZ2405,3.9,0,9.5
TZ2501,4.9,0,0
TZ2502,4.9,0,0
TZ2503,4.9,0,0
TZ2504,4.9,0,0
TZ2505,4.9,0,0
TZ2601,4.6,0,0
TZ2605,4.6,0,0
TZ2606,4.6,0,0
TZ2609,4.6,0,0
TZ2610,4.6,0,0
TZ5101,1.3,10,0
TZ5102,1.3,10,0
TZ5201,0.6,0,0
TZ5202,0.6,0,0
TZ5301,1.066666667,0,0
TZ5302,1.066666667,0,0
TZ5401,0.8333333333,0,0
TZ5402,0.8333333333,0,0
TZ5501,0.6333333333,0,0
TZ5502,0.6333333333,0,0
