code,council,windmax
C001,Kondoa District,4.994
C002,Kondoa Town,4.706
C003,Mpwapwa District,4.004
C004,Kongwa District,5.57
C005,Chamwino District,4.796
C006,Dodoma City,5.335
C007,Bahi District,5.315
C008,Chemba District,4.92
C009,Monduli District,4.758
C010,Meru District,3.536
C011,Arusha District,4.234
C012,Longido District,5.447
C013,Karatu District,5.323
C014,Ngorongoro District,5.165
C015,Arusha City,3.876
C016,Rombo District,3.746
C017,Mwanga District,5.052
C018,Same District,5.026
C019,Moshi Municipal,3.367
C020,Moshi District,3.838
C021,Hai District,3.773
C022,Siha District,4.564
C023,Lushoto District,5.185
C024,Bumbuli District,4.86
C025,Korogwe District,5.558
C026,Korogwe Town,5.341
C027,Muheza District,6.983
C028,Tanga City,9.121
C029,Pangani District,8.257
C030,Handeni District,6.971
C031,Handeni Town,6.266
C032,Kilindi District,5.583
C033,Mkinga District,7.96
C034,Kilosa District,5.007
C035,Morogoro District,4.936
C036,Morogoro Municipal,4.213
C037,Mlimba District,4.236
C038,Ifakara Town,4.871
C039,Ulanga District,5.195
C040,Malinyi District,4.871
C041,Mvomero District,4.832
C042,Gairo District,5.358
C043,Bagamoyo District,6.688
C044,Chalinze District,6.217
C045,Kibaha District,5.643
C046,Kibaha Town,6.25
C047,Kisarawe District,5.733
C048,Mkuranga District,7.338
C049,Rufiji District,5.55
C050,Mafia District,14.2
C051,Kibiti District,6.909
C052,Kinondoni Municipal,8.031
C053,Dar Es Salaam City,7.029
C054,Temeke Municipal,7.689
C055,Kigamboni Municipal,9.632
C056,Ubungo Municipal,7.308
C057,Kilwa District,6.472
C058,Mtama District,6.399
C059,Lindi Municipal,5.946
C060,Nachingwea District,7.904
C061,Liwale District,6.361
C062,Ruangwa District,5.907
C063,Mtwara District,8.992
C064,Nanyamba Town,8.021
C065,Mtwara Mikindani Municipal,10.526
C066,Newala District,6.812
C067,Newala Town,5.932
C068,Masasi District,7.677
C069,Masasi Town,8.191
C070,Tandahimba District,6.255
C071,Nanyumbu District,8.297
C072,Tunduru District,6.534
C073,Songea District,4.58
C074,Songea Municipal,5.352
C075,Madaba District,4.897
C076,Mbinga District,4.829
C077,Mbinga Town,3.698
C078,Nyasa District,6.048
C079,Namtumbo District,5.528
C080,Iringa District,5.428
C081,Iringa Municipal,7.529
C082,Mafinga Town,6.867
C083,Mufindi District,5.857
C084,Kilolo District,4.838
C085,Chunya District,5.104
C086,Mbeya District,4.745
C087,Mbeya City,4.411
C088,Kyela District,5.252
C089,Rungwe District,4.809
C090,Busokelo District,5.401
C091,Mbarali District,5.428
C092,Iramba District,5.496
C093,Singida District,5.591
C094,Singida Municipal,6.215
C095,Manyoni District,5.336
C096,Itigi District,5.654
C097,Ikungi District,5.769
C098,Mkalama District,5.335
C099,Nzega Town,5.818
C100,Nzega District,5.216
C101,Igunga District,5.991
C102,Uyui District,5.177
C103,Urambo District,3.994
C104,Sikonge District,5.075
C105,Tabora Municipal,4.978
C106,Kaliua District,3.834
C107,Kalambo District,5.306
C108,Sumbawanga District,5.145
C109,Sumbawanga Municipal,4.537
C110,Nkasi District,4.981
C111,Kibondo District,3.742
C112,Kasulu District,3.999
C113,Kasulu Town,4.417
C114,Kigoma District,5.352
C115,Kigoma Ujiji City,6.421
C116,Uvinza District,4.405
C117,Buhigwe District,4.341
C118,Kakonko District,3.789
C119,Ushetu District,4.042
C120,Kahama Municipal,4.508
C121,Msalala District,4.732
C122,Kishapu District,5.753
C123,Shinyanga District,6.061
C124,Shinyanga Municipal,6.249
C125,Karagwe District,3.857
C126,Bukoba District,5.613
C127,Bukoba Municipal,7.937
C128,Muleba District,5.21
C129,Biharamulo District,4.357
C130,Ngara District,4.034
C131,Kyerwa District,4.209
C132,Missenyi District,4.898
C133,Ukerewe District,11.01
C134,Magu District,6.534
C135,Mwanza City,7.288
C136,Kwimba District,6.2
C137,Sengerema District,5.939
C138,Buchosa District,6.443
C139,Ilemela Municipal,9.068
C140,Misungwi District,5.842
C141,Tarime District,4.755
C142,Tarime Town,4.683
C143,Serengeti District,4.856
C144,Musoma District,8.038
C145,Musoma Municipal,7.526
C146,Bunda District,6.25
C147,Bunda Town,5.65
C148,Butiama District,5.526
C149,Rorya District,6.388
C150,Babati District,4.589
C151,Babati Town,3.768
C152,Hanang District,6.268
C153,Mbulu District,5.821
C154,Mbulu Town,4.069
C155,Simanjiro District,5.751
C156,Kiteto District,5.911
C157,Njombe District,5.038
C158,Njombe Town,5.287
C159,Makambako Town,6.061
C160,Ludewa District,5.037
C161,Makete District,4.379
C162,Wanging'Ombe District,5.34
C163,Mpanda Municipal,4.216
C164,Nsimbo District,4.338
C165,Tanganyika District,3.931
C166,Mlele District,4.298
C167,Mpimbwe District,4.944
C168,Bariadi District,5.362
C169,Bariadi Town,6.048
C170,Itilima District,6.015
C171,Meatu District,5.716
C172,Maswa District,6.164
C173,Busega District,6.172
C174,Geita District,4.948
C175,Geita Town,4.551
C176,Nyang'Hwale District,4.848
C177,Halmashuari Ya Wilaya Ya Mbogwe District,4.251
C178,Bukombe District,3.765
C179,Chato District,4.943
C180,Momba District,5.919
C181,Tunduma Town,5.57
C182,Songwe District,5.765
C183,Mbozi District,5.944
C184,Ileje District,5.095
C185,Kaskazini A Town,10.715
C186,Kaskazini B Town,9.868
C187,Kati Town,9.491
C188,Kusini District,11.07
C189,Mjini Municipal,9.668
C190,Magharibi A Municipal,9.729
