stage,dimension,category,indicator,raw_value_or_basis,source,standardisation_to_0_10,value_0_10
"1 indicator","Hazard & Exposure","Natural hazards","drought","mean annual rain 1087.904 mm; season-fail freq 0.206; SPEI sev 1.499","CHIRPS v3 (1991-2024) + ERA5 t2m","blend(0.30 aridity + 0.20 variability + 0.15 SPEI-depth + 0.35 season-fail), min-max 0-10","5.8"
"1 indicator","Hazard & Exposure","Natural hazards","flood","documented floods 2020; 2018; heavy-rain days/yr 1.2","DesInventar/PMO-DMD + CHIRPS daily","max(documented floor, heavy-rain) then Hazard×Exposure = max(H, sqrt(H*E))","9"
"1 indicator","Hazard & Exposure","Natural hazards","earthquake","Rift-valley seismicity","INFORM SADC (USGS basis)","standardised 0-10","0.7"
"1 indicator","Hazard & Exposure","Natural hazards","landslide","rainfall-triggered slope failure","INFORM SADC","standardised 0-10","5.2"
"1 indicator","Hazard & Exposure","Natural hazards","wildfire","fire-prone miombo","INFORM SADC","standardised 0-10","4.5"
"1 indicator","Hazard & Exposure","Natural hazards","stormsCyclone","tropical cyclone exposure (coast)","documented (Hidaya etc.) + INFORM","standardised 0-10","7"
"1 indicator","Hazard & Exposure","Natural hazards","coastalHazards","coastal exposure (delta/shoreline)","INFORM SADC + documented","standardised 0-10","7.5"
"1 indicator","Hazard & Exposure","Natural hazards","heatwave","hottest-quarter & mean temperature","ERA5 t2m","min-max of (0.5 mean-temp + 0.5 hot-quarter) x 6.5","6.5"
"1 indicator","Hazard & Exposure","Natural hazards","lightning","lightning density","INFORM SADC","standardised 0-10","3"
"1 indicator","Hazard & Exposure","Natural hazards","environmentalDegradation","land degradation","INFORM SADC","standardised 0-10","5.4"
"1 indicator","Hazard & Exposure","Natural hazards","volcano","volcanic exposure","INFORM SADC","standardised 0-10","0"
"1 indicator","Hazard & Exposure","Natural hazards","zoonoses","pests/plant/animal disease","INFORM SADC","standardised 0-10 (null = no data)","null (no data)"
"2 category = MEAN of indicators","Hazard & Exposure","Natural hazards","CATEGORY AGGREGATE","","","arithmetic mean of the non-null indicators above","5"
"1 indicator","Hazard & Exposure","Human hazards","conflictIntensity","national conflict intensity","INFORM (ACLED/UCDP, national)","country value applied to all units","0"
"1 indicator","Hazard & Exposure","Human hazards","conflictRisk","national conflict risk","INFORM (national)","country value applied to all units","0.7"
"1 indicator","Hazard & Exposure","Human hazards","hazardousMaterial","industrial/mining sites","documented (null where none)","standardised 0-10","null (no data)"
"1 indicator","Hazard & Exposure","Human hazards","internalViolence","internal violence","INFORM SADC","standardised 0-10","6.8"
"1 indicator","Hazard & Exposure","Human hazards","vehicleAccidents","road-accident exposure (highways)","documented (null where none)","standardised 0-10","4"
"2 category = MEAN of indicators","Hazard & Exposure","Human hazards","CATEGORY AGGREGATE","","","arithmetic mean of the non-null indicators above","2.9"
"1 indicator","Vulnerability","Socio-economic","developmentPoverty","basic-needs poverty rate","NBS Household Budget Survey","standardised 0-10","6.43"
"1 indicator","Vulnerability","Socio-economic","economicDependency","economic dependency ratio","NBS census age structure","standardised 0-10","3.47"
"1 indicator","Vulnerability","Socio-economic","habitat","housing quality / informal settlement","NBS 2022 census","standardised 0-10","5.75"
"1 indicator","Vulnerability","Socio-economic","livelihoods","food insecurity (IPC phase)","IPC / MUCHALI","standardised 0-10 (0 = no IPC classification)","0"
"2 category = MEAN of indicators","Vulnerability","Socio-economic","CATEGORY AGGREGATE","","","arithmetic mean of the non-null indicators above","3.9"
"1 indicator","Vulnerability","Vulnerable groups","displacedPeople","refugees / displaced","UNHCR / PMO","(refugees / max)^0.4 x 10","0"
"1 indicator","Vulnerability","Vulnerable groups","healthConditions","HIV + malaria burden","TACAIDS / NMCP (regional)","min-max(0.5 HIV + 0.5 malaria) x 10","4.7"
"1 indicator","Vulnerability","Vulnerable groups","childrenHealthNutrition","under-5 stunting","TDHS 2022","standardised 0-10","6.35"
"1 indicator","Vulnerability","Vulnerable groups","economic","economic vulnerability","no INFORM value","null = excluded from the mean","null (no data)"
"2 category = MEAN of indicators","Vulnerability","Vulnerable groups","CATEGORY AGGREGATE","","","arithmetic mean of the non-null indicators above","3.7"
"1 indicator","Lack of Coping Capacity","Infrastructure","accessHealth","health-facility access","NBS 2022 census (PHC)","inverted facility density, 0-10","5.32"
"1 indicator","Lack of Coping Capacity","Infrastructure","economicCapacity","economic capacity","INFORM SADC","standardised 0-10","8.67"
